# theta, gammat_err
2.805046135754908576e+00 5.808312119003742913e-05
3.531343861556885511e+00 5.091037510305024310e-05
4.445698525097306231e+00 3.834155382624958823e-05
5.596802846420849242e+00 2.753096874390931542e-05
7.045957328161134292e+00 2.256366930116008158e-05
8.870334730839386950e+00 1.973632827946399535e-05
1.116708980377407912e+01 1.609206519915415843e-05
1.405853312975872704e+01 1.320311723689305067e-05
1.769864460960344488e+01 1.176693425333424132e-05
2.228127345334363341e+01 1.019018099622426336e-05
2.805046135754907866e+01 8.802233801145081799e-06
3.531343861556884889e+01 7.942455946848184749e-06
4.445698525097307652e+01 6.945389261853415694e-06
5.596802846420851552e+01 6.882413591105362661e-06
7.045957328161131272e+01 6.356984610926167157e-06
8.870334730839388726e+01 6.449780559156947533e-06
1.116708980377407130e+02 6.053025324876972456e-06
1.405853312975872882e+02 5.885799763014425530e-06
1.769864460960343422e+02 5.880025486050367910e-06
2.228127345334363838e+02 5.887829578053917161e-06
2.805046135754906231e+02 5.765509024813076901e-06
3.531343861556885599e+02 4.135960140877884975e-06
4.445698525097302536e+02 3.874161565127402566e-06
5.596802846420847573e+02 3.422124279823151176e-06
7.045957328161139230e+02 2.711664253527312360e-06
8.870334730839383610e+02 2.594518348247477998e-06
