# theta, gamma_t
2.805046135754908576e+00 9.006407250603904943e-04
3.531343861556885511e+00 8.415202319701002532e-04
4.445698525097306231e+00 6.146241212357866305e-04
5.596802846420849242e+00 4.379051624479307473e-04
7.045957328161134292e+00 3.049705019228022055e-04
8.870334730839386950e+00 3.166180868275068915e-04
1.116708980377407912e+01 2.472782834623299159e-04
1.405853312975872704e+01 2.003827906523939319e-04
1.769864460960344488e+01 1.841209578335894809e-04
2.228127345334363341e+01 1.586532086814413495e-04
2.805046135754907866e+01 1.435675904678740205e-04
3.531343861556884889e+01 1.324732480109752316e-04
4.445698525097307652e+01 1.079479111863262763e-04
5.596802846420851552e+01 8.807620206083680069e-05
7.045957328161131272e+01 7.422383648758325823e-05
8.870334730839388726e+01 6.364172048190092892e-05
1.116708980377407130e+02 4.660772077447381364e-05
1.405853312975872882e+02 2.850575928059490553e-05
1.769864460960343422e+02 1.150020008123740237e-05
2.228127345334363838e+02 -4.151526890275596681e-07
2.805046135754906231e+02 -5.807147966522548591e-06
3.531343861556885599e+02 -6.810505250855599459e-06
4.445698525097302536e+02 5.577226241074605123e-07
5.596802846420847573e+02 8.524872870675004319e-06
7.045957328161139230e+02 -2.796781232640700542e-06
8.870334730839383610e+02 -1.369546701505184253e-05
