# theta, gamma_t
2.805046135754908576e+00 3.206364593943826806e-04
3.531343861556885511e+00 2.553017953198925588e-04
4.445698525097306231e+00 2.575676284428253353e-04
5.596802846420849242e+00 2.225696992763024067e-04
7.045957328161134292e+00 1.776027786325770999e-04
8.870334730839386950e+00 1.144995661761121403e-04
1.116708980377407912e+01 8.284993563245305747e-05
1.405853312975872704e+01 1.186076547109740859e-04
1.769864460960344488e+01 1.140696833310746487e-04
2.228127345334363341e+01 8.961210218999082593e-05
2.805046135754907866e+01 6.794951373172492177e-05
3.531343861556884889e+01 6.227372687126202407e-05
4.445698525097307652e+01 5.458312763520718134e-05
5.596802846420851552e+01 4.321900224009346710e-05
7.045957328161131272e+01 2.699978192099615552e-05
8.870334730839388726e+01 2.533942038510153527e-05
1.116708980377407130e+02 1.736860035580634545e-05
1.405853312975872882e+02 1.019448737528616333e-05
1.769864460960343422e+02 1.074065927955584305e-05
2.228127345334363838e+02 7.984939575129230624e-06
2.805046135754906231e+02 5.060967367628020944e-06
3.531343861556885599e+02 8.210472046976967825e-06
4.445698525097302536e+02 1.983405393055937117e-06
5.596802846420847573e+02 -2.075613757639406443e-06
7.045957328161139230e+02 5.512108835130297483e-07
8.870334730839383610e+02 1.459662447687163543e-06
