# theta, gamma_t
2.805046135754908576e+00 -9.335410665081221622e-06
3.531343861556885511e+00 -1.250998595118827853e-05
4.445698525097306231e+00 -1.288345081454225023e-05
5.596802846420849242e+00 -1.293649633136952412e-05
7.045957328161134292e+00 -8.588544457615810560e-06
8.870334730839386950e+00 -1.962611505127119505e-06
1.116708980377407912e+01 -7.257579081793862582e-06
1.405853312975872704e+01 -8.259862027114957513e-06
1.769864460960344488e+01 -4.271929619035313332e-06
2.228127345334363341e+01 -5.370929108985752201e-06
2.805046135754907866e+01 -6.425867945647847900e-06
3.531343861556884889e+01 -5.284345495293634060e-06
4.445698525097307652e+01 -3.264847106635834652e-06
5.596802846420851552e+01 -4.353192497730259593e-06
7.045957328161131272e+01 -8.059464799898438084e-06
8.870334730839388726e+01 -5.096575203179714540e-06
1.116708980377407130e+02 -4.396785808427928840e-06
1.405853312975872882e+02 -4.429657254669966076e-06
1.769864460960343422e+02 -7.646641387180291044e-06
2.228127345334363838e+02 -5.852033835378165549e-06
2.805046135754906231e+02 -4.749631265197701338e-06
3.531343861556885599e+02 -1.004528574775893798e-06
4.445698525097302536e+02 -7.101136827442991399e-07
5.596802846420847573e+02 5.038324004912894358e-07
7.045957328161139230e+02 -1.921005546425076613e-06
8.870334730839383610e+02 -2.408662237364399118e-06
