# theta, gammat_shot_noise
2.805046135754908576e+00 1.667182767612928971e-09
3.531343861556885511e+00 1.070633658664593024e-09
4.445698525097306231e+00 6.624420097079517865e-10
5.596802846420849242e+00 4.197764298138050474e-10
7.045957328161134292e+00 3.041958460541709079e-10
8.870334730839386950e+00 2.355320044915493971e-10
1.116708980377407912e+01 1.274131011509868308e-10
1.405853312975872704e+01 1.065752770791310080e-10
1.769864460960344488e+01 9.679218171453221780e-11
2.228127345334363341e+01 5.890506010663134691e-11
2.805046135754907866e+01 6.017600155888815236e-11
3.531343861556884889e+01 5.861320933140331057e-11
4.445698525097307652e+01 6.039079580957719883e-11
5.596802846420851552e+01 5.952462713051381768e-11
7.045957328161131272e+01 6.902054425061076977e-11
8.870334730839388726e+01 7.972808516202935831e-11
1.116708980377407130e+02 1.004325236381878968e-10
1.405853312975872882e+02 1.253580373281864848e-10
1.769864460960343422e+02 1.703358129379447908e-10
2.228127345334363838e+02 2.533203807217150298e-10
2.805046135754906231e+02 3.360846592723020404e-10
3.531343861556885599e+02 3.491334851023575287e-10
4.445698525097302536e+02 3.274885686477105167e-10
5.596802846420847573e+02 2.578609828071917802e-10
7.045957328161139230e+02 2.217657500188876251e-10
8.870334730839383610e+02 2.451506809077503885e-10
