# theta, gamma_x
2.805046135754908576e+00 8.558860061614026235e-06
3.531343861556885511e+00 3.631317292085550657e-06
4.445698525097306231e+00 1.879878939844803065e-06
5.596802846420849242e+00 -9.685057092862567132e-06
7.045957328161134292e+00 -2.838259931377990590e-06
8.870334730839386950e+00 2.511245942078598928e-06
1.116708980377407912e+01 1.167873612797426954e-06
1.405853312975872704e+01 -1.483692105257601280e-06
1.769864460960344488e+01 -2.954071602263980699e-06
2.228127345334363341e+01 -7.591807833594820237e-06
2.805046135754907866e+01 -3.432780104092771090e-06
3.531343861556884889e+01 -1.520994208624970218e-06
4.445698525097307652e+01 -2.357703162697151239e-07
5.596802846420851552e+01 -3.105640342103794125e-06
7.045957328161131272e+01 -9.655463980447265923e-07
8.870334730839388726e+01 -4.215207160207162691e-06
1.116708980377407130e+02 -4.471324962052172563e-06
1.405853312975872882e+02 -8.932653917250433397e-06
1.769864460960343422e+02 -6.811211097539206799e-06
2.228127345334363838e+02 -1.434034082846544125e-06
2.805046135754906231e+02 9.868950406216294696e-07
3.531343861556885599e+02 -6.674748589061705914e-07
4.445698525097302536e+02 -5.560155251795254801e-06
5.596802846420847573e+02 -5.177545100293807457e-06
7.045957328161139230e+02 -1.183292695456557361e-06
8.870334730839383610e+02 6.162977583151783018e-06
