# theta, gammat_err
2.805046135754908576e+00 5.788869215662280739e-05
3.531343861556885511e+00 5.154586528197119814e-05
4.445698525097306231e+00 3.925339650218642891e-05
5.596802846420849242e+00 3.370164339149020564e-05
7.045957328161134292e+00 2.874350508556742132e-05
8.870334730839386950e+00 2.405189937942177458e-05
1.116708980377407912e+01 1.955716862340977329e-05
1.405853312975872704e+01 1.666451522731654525e-05
1.769864460960344488e+01 1.509228276842001449e-05
2.228127345334363341e+01 1.282166084643666332e-05
2.805046135754907866e+01 1.185788955640789827e-05
3.531343861556884889e+01 1.140084037724516141e-05
4.445698525097307652e+01 9.732013190039283637e-06
5.596802846420851552e+01 8.950400575078968846e-06
7.045957328161131272e+01 9.489062034450389913e-06
8.870334730839388726e+01 9.591401735386295542e-06
1.116708980377407130e+02 9.330525690602836401e-06
1.405853312975872882e+02 9.846332668208706789e-06
1.769864460960343422e+02 8.900337539492730979e-06
2.228127345334363838e+02 8.623936394310015982e-06
2.805046135754906231e+02 9.070388356582597856e-06
3.531343861556885599e+02 8.255972663217390863e-06
4.445698525097302536e+02 7.768593085788274110e-06
5.596802846420847573e+02 6.391158230903987649e-06
7.045957328161139230e+02 5.196833254196436767e-06
8.870334730839383610e+02 5.011169462934090100e-06
