# theta, gamma_t
2.805046135754908576e+00 1.652852546791861799e-03
3.531343861556885511e+00 1.353041329659161653e-03
4.445698525097306231e+00 1.085497082596530898e-03
5.596802846420849242e+00 8.511254121566137363e-04
7.045957328161134292e+00 7.005151667737414883e-04
8.870334730839386950e+00 5.629730610330791222e-04
1.116708980377407912e+01 4.383116772746519277e-04
1.405853312975872704e+01 3.605445269864904928e-04
1.769864460960344488e+01 3.059814724715078098e-04
2.228127345334363341e+01 2.653230240422858833e-04
2.805046135754907866e+01 2.251002051143403038e-04
3.531343861556884889e+01 1.868660259655525937e-04
4.445698525097307652e+01 1.570526816366295188e-04
5.596802846420851552e+01 1.365861320245662027e-04
7.045957328161131272e+01 1.168941932836418002e-04
8.870334730839388726e+01 9.285075746839061678e-05
1.116708980377407130e+02 6.855353250031815142e-05
1.405853312975872882e+02 5.110712712149153262e-05
1.769864460960343422e+02 3.318765472815444969e-05
2.228127345334363838e+02 2.190101161912652125e-05
2.805046135754906231e+02 1.078408864313185698e-05
3.531343861556885599e+02 1.028597123644316734e-05
4.445698525097302536e+02 6.697272860496954694e-06
5.596802846420847573e+02 1.197324861125516045e-05
7.045957328161139230e+02 -6.230632757167873708e-06
8.870334730839383610e+02 -2.189417055173021690e-05
