# xi_im, xi_npair, xi_weight, Rg
4.164576823268367018e-05 3.162169100000000000e+07 4.246702280947855711e+08 8.571271926354424586e-01
2.326108227750390829e-05 4.959587700000000000e+07 6.654928716212526560e+08 8.571271926354424586e-01
-6.320468508236022757e-06 7.784011600000000000e+07 1.043734343244225025e+09 8.571271926354424586e-01
-1.311144265227471531e-05 1.223396000000000000e+08 1.639481883283846378e+09 8.571271926354424586e-01
-4.354122413727809083e-06 1.923476210000000000e+08 2.576673513600721836e+09 8.571271926354424586e-01
7.813226657777524187e-06 3.027135980000000000e+08 4.053505900582020760e+09 8.571271926354424586e-01
2.473354069578742760e-05 4.767978800000000000e+08 6.382997168823746681e+09 8.571271926354424586e-01
-2.309203114163971098e-05 7.511582910000000000e+08 1.005379496401533699e+10 8.571271926354424586e-01
7.351644792300387434e-06 1.184140880000000000e+09 1.584540523365394974e+10 8.571271926354424586e-01
3.068748773932274686e-06 1.867426340000000000e+09 2.498479290018544006e+10 8.571271926354424586e-01
-2.060969251006949688e-06 2.945221118000000000e+09 3.939931130401651764e+10 8.571271926354424586e-01
1.243996167345426853e-06 4.643775462000000000e+09 6.211317596230941772e+10 8.571271926354424586e-01
1.160660605821674528e-05 7.316853143000000000e+09 9.785388720642660522e+10 8.571271926354424586e-01
6.034816487111918885e-06 1.151790655100000000e+10 1.540197228348561096e+11 8.571271926354424586e-01
6.804017834853657268e-06 1.810723534600000000e+10 2.421051444376763306e+11 8.571271926354424586e-01
1.885440988113262716e-06 2.841586930300000000e+10 3.798926670213525391e+11 8.571271926354424586e-01
-1.416904581867803184e-06 4.450189874000000000e+10 5.948780288199973145e+11 8.571271926354424586e-01
-3.494784542493992178e-06 6.952082761400000000e+10 9.292029743105938721e+11 8.571271926354424586e-01
-4.803877948957694329e-06 1.082648725760000000e+11 1.446851283607211914e+12 8.571271926354424586e-01
-7.385720269330033695e-06 1.679942235160000000e+11 2.244721432907524414e+12 8.571271926354424586e-01
-1.241634304625122627e-06 2.597908616770000000e+11 3.470712722358854004e+12 8.571271926354424586e-01
-4.285813341793604349e-06 3.998624013020000000e+11 5.341079470911069336e+12 8.571271926354424586e-01
-6.346166866871753804e-06 6.114273245250000000e+11 8.165361566802133789e+12 8.571271926354424586e-01
-1.110322689991436456e-05 9.255436432150000000e+11 1.235709476305757227e+13 8.571271926354424586e-01
-1.339357963857944424e-05 1.383598903518000000e+12 1.846730046000910547e+13 8.571271926354424586e-01
-1.348494751732292681e-05 2.042738215036000000e+12 2.725364323658231641e+13 8.571271926354424586e-01
