# theta, gamma_t
2.805046135754908576e+00 8.311766107922481986e-05
3.531343861556885511e+00 1.277488900293085651e-04
4.445698525097306231e+00 6.042576219560917702e-06
5.596802846420849242e+00 4.958637418684453703e-05
7.045957328161134292e+00 1.278706231119171332e-05
8.870334730839386950e+00 1.497668853012160662e-05
1.116708980377407912e+01 1.423387443775233775e-05
1.405853312975872704e+01 2.285100694231251559e-06
1.769864460960344488e+01 2.041150905355720608e-05
2.228127345334363341e+01 1.309607199721774573e-05
2.805046135754907866e+01 9.519298494058238072e-06
3.531343861556884889e+01 8.870096534120051169e-06
4.445698525097307652e+01 1.101467143231977389e-05
5.596802846420851552e+01 3.674384468895819410e-06
7.045957328161131272e+01 8.467882493393122156e-06
8.870334730839388726e+01 9.445169834005574593e-06
1.116708980377407130e+02 2.587614517075423673e-06
1.405853312975872882e+02 1.561060061859748222e-06
1.769864460960343422e+02 3.993920856867432307e-06
2.228127345334363838e+02 2.118785944106293092e-06
2.805046135754906231e+02 3.339800509702342596e-06
3.531343861556885599e+02 6.016552649838899518e-06
4.445698525097302536e+02 2.997190102474108652e-06
5.596802846420847573e+02 -2.183470065680144667e-06
7.045957328161139230e+02 -5.426322717936300231e-07
8.870334730839383610e+02 2.404739365803572955e-08
