# theta, gammat_shot_noise
2.805046135754908576e+00 1.635740668667066546e-09
3.531343861556885511e+00 1.142707951791376502e-09
4.445698525097306231e+00 7.786792814034643600e-10
5.596802846420849242e+00 5.459355326162626974e-10
7.045957328161134292e+00 3.533190007796788536e-10
8.870334730839386950e+00 2.573957763281226988e-10
1.116708980377407912e+01 2.000181694269691198e-10
1.405853312975872704e+01 1.520395720190909256e-10
1.769864460960344488e+01 1.467680935271669399e-10
2.228127345334363341e+01 1.034222822224200026e-10
2.805046135754907866e+01 8.724188812384741195e-11
3.531343861556884889e+01 8.584719131174567732e-11
4.445698525097307652e+01 1.126271912375886480e-10
5.596802846420851552e+01 1.289948320634142857e-10
7.045957328161131272e+01 1.606755357485742809e-10
8.870334730839388726e+01 2.053035685310153113e-10
1.116708980377407130e+02 3.078182400444804436e-10
1.405853312975872882e+02 4.439454221322269498e-10
1.769864460960343422e+02 6.270686816971068170e-10
2.228127345334363838e+02 8.907996905607465948e-10
2.805046135754906231e+02 1.145936973446279092e-09
3.531343861556885599e+02 1.211917379813262323e-09
4.445698525097302536e+02 1.071599900731614441e-09
5.596802846420847573e+02 7.973783713329953206e-10
7.045957328161139230e+02 6.588438772189581770e-10
8.870334730839383610e+02 6.695769733341853686e-10
