# theta, gamma_x
2.805046135754908576e+00 6.974259383260305613e-05
3.531343861556885511e+00 3.609076013443215930e-05
4.445698525097306231e+00 -3.192558425319544195e-05
5.596802846420849242e+00 1.173770810384562066e-05
7.045957328161134292e+00 3.480647514194070368e-05
8.870334730839386950e+00 4.384072982377634942e-06
1.116708980377407912e+01 2.863292733502520226e-05
1.405853312975872704e+01 -6.757633718599137766e-06
1.769864460960344488e+01 -1.148549050906422602e-06
2.228127345334363341e+01 -1.535507980921831393e-05
2.805046135754907866e+01 -3.415576100766831716e-07
3.531343861556884889e+01 3.234285002270004577e-06
4.445698525097307652e+01 -1.027289904152016902e-06
5.596802846420851552e+01 7.184387751059067334e-06
7.045957328161131272e+01 8.510646153796933820e-07
8.870334730839388726e+01 5.993009024713344640e-06
1.116708980377407130e+02 3.363124228951219104e-06
1.405853312975872882e+02 3.060490896406940646e-06
1.769864460960343422e+02 4.686641738546385110e-06
2.228127345334363838e+02 -1.170095282845899260e-06
2.805046135754906231e+02 -1.822863019252887349e-08
3.531343861556885599e+02 6.175874107560866904e-07
4.445698525097302536e+02 1.177417482033200769e-06
5.596802846420847573e+02 -1.139528564324260854e-06
7.045957328161139230e+02 1.086975361083152182e-06
8.870334730839383610e+02 -6.795248547807604193e-07
