# theta, gamma_x
2.805046135754908576e+00 1.575612548695938184e-05
3.531343861556885511e+00 8.028387556583511933e-06
4.445698525097306231e+00 5.777378707699844770e-06
5.596802846420849242e+00 -1.220337522026004443e-05
7.045957328161134292e+00 -6.163823983294054723e-06
8.870334730839386950e+00 3.767228401997701595e-06
1.116708980377407912e+01 -1.440249404227645456e-06
1.405853312975872704e+01 -6.954738120240681243e-09
1.769864460960344488e+01 -3.720653036557511272e-06
2.228127345334363341e+01 -6.453403093254408900e-06
2.805046135754907866e+01 -4.712415441332436271e-06
3.531343861556884889e+01 -2.781673281835976140e-06
4.445698525097307652e+01 -4.899651251412420926e-07
5.596802846420851552e+01 -2.906604332897769253e-06
7.045957328161131272e+01 -1.993755905501985290e-07
8.870334730839388726e+01 -3.641446942927699082e-06
1.116708980377407130e+02 -5.056223928689746926e-06
1.405853312975872882e+02 -9.401153003960624902e-06
1.769864460960343422e+02 -6.639363627638284851e-06
2.228127345334363838e+02 -1.452763056757400888e-06
2.805046135754906231e+02 9.282369415827898227e-07
3.531343861556885599e+02 -6.659210051677471620e-07
4.445698525097302536e+02 -5.593502452953822520e-06
5.596802846420847573e+02 -5.312653690001923097e-06
7.045957328161139230e+02 -1.152288255766137939e-06
8.870334730839383610e+02 6.159200987644041207e-06
