# theta, gammat_err
2.805046135754908576e+00 4.339470015840045993e-05
3.531343861556885511e+00 3.550383459850308928e-05
4.445698525097306231e+00 2.991749914555640497e-05
5.596802846420849242e+00 2.512611237937354745e-05
7.045957328161134292e+00 2.102854234080662205e-05
8.870334730839386950e+00 1.624397861301833239e-05
1.116708980377407912e+01 1.251699381316470225e-05
1.405853312975872704e+01 1.088751382998627630e-05
1.769864460960344488e+01 9.477993607134226696e-06
2.228127345334363341e+01 8.681394045338619109e-06
2.805046135754907866e+01 6.845159792399004146e-06
3.531343861556884889e+01 6.240794747948143411e-06
4.445698525097307652e+01 5.637661271521358147e-06
5.596802846420851552e+01 5.487201691038028444e-06
7.045957328161131272e+01 5.460418563805164059e-06
8.870334730839388726e+01 5.245720495359532386e-06
1.116708980377407130e+02 5.077470721435624040e-06
1.405853312975872882e+02 4.570119385298739199e-06
1.769864460960343422e+02 4.514546256400515943e-06
2.228127345334363838e+02 4.688534810322216357e-06
2.805046135754906231e+02 4.162917138443142761e-06
3.531343861556885599e+02 3.717544029540264221e-06
4.445698525097302536e+02 2.956662445313400108e-06
5.596802846420847573e+02 2.511798175571842190e-06
7.045957328161139230e+02 1.926114104571764172e-06
8.870334730839383610e+02 1.955620401023766643e-06
