# theta, boost
2.805046135754908576e+00 1.025632942918287105e+00
3.531343861556885511e+00 1.021941695984016185e+00
4.445698525097306231e+00 1.018898557560133478e+00
5.596802846420849242e+00 1.016129183113326562e+00
7.045957328161134292e+00 1.013765285097970592e+00
8.870334730839386950e+00 1.011801930795769078e+00
1.116708980377407912e+01 1.009658526882971641e+00
1.405853312975872704e+01 1.007823934090581686e+00
1.769864460960344488e+01 1.006244091130930496e+00
2.228127345334363341e+01 1.004729226857373536e+00
2.805046135754907866e+01 1.003499066805683571e+00
3.531343861556884889e+01 1.002563989712636605e+00
4.445698525097307652e+01 1.001785000177412233e+00
5.596802846420851552e+01 1.001098652130068212e+00
7.045957328161131272e+01 1.000756759829624754e+00
8.870334730839388726e+01 1.000618577279569710e+00
1.116708980377407130e+02 1.000526828233912591e+00
1.405853312975872882e+02 1.000404110361645449e+00
1.769864460960343422e+02 1.000255724657287626e+00
2.228127345334363838e+02 1.000414259371412040e+00
2.805046135754906231e+02 1.000155122345648406e+00
3.531343861556885599e+02 9.999772555517649764e-01
4.445698525097302536e+02 9.997756322504423032e-01
5.596802846420847573e+02 9.995983295709980343e-01
7.045957328161139230e+02 9.994051832169551508e-01
8.870334730839383610e+02 9.991909961612437385e-01
