# theta, gamma_t
2.805046135754908576e+00 1.135930501453797866e-04
3.531343861556885511e+00 7.737400969508161921e-05
4.445698525097306231e+00 7.366424180470167345e-05
5.596802846420849242e+00 4.039087131427390986e-05
7.045957328161134292e+00 4.091579924681337576e-05
8.870334730839386950e+00 4.623440318805411523e-05
1.116708980377407912e+01 5.002327475381214823e-05
1.405853312975872704e+01 4.720782236669636417e-05
1.769864460960344488e+01 3.889186072734991927e-05
2.228127345334363341e+01 3.464409399057833002e-05
2.805046135754907866e+01 3.623648987282973647e-05
3.531343861556884889e+01 3.051116108162286986e-05
4.445698525097307652e+01 2.647967698826580898e-05
5.596802846420851552e+01 2.391151902611105606e-05
7.045957328161131272e+01 1.999490691960831618e-05
8.870334730839388726e+01 1.096921770454378732e-05
1.116708980377407130e+02 -6.289303081677472756e-06
1.405853312975872882e+02 -8.960774001209128898e-06
1.769864460960343422e+02 -1.529837535382533428e-05
2.228127345334363838e+02 -1.561833846141812141e-05
2.805046135754906231e+02 -1.724837492200329938e-05
3.531343861556885599e+02 -9.055466948157329504e-06
4.445698525097302536e+02 -3.141626566115184343e-06
5.596802846420847573e+02 1.999845881786272936e-06
7.045957328161139230e+02 -6.750544181769067868e-06
8.870334730839383610e+02 -1.379919368345274082e-05
