# theta, gamma_t
2.805046135754908576e+00 4.598153145044949039e-04
3.531343861556885511e+00 3.466701970991944819e-04
4.445698525097306231e+00 2.684971688854400035e-04
5.596802846420849242e+00 2.727029710181922773e-04
7.045957328161134292e+00 1.954882117147673361e-04
8.870334730839386950e+00 1.713002967111186905e-04
1.116708980377407912e+01 1.623242015196170603e-04
1.405853312975872704e+01 1.466805757060143532e-04
1.769864460960344488e+01 1.210832271054730511e-04
2.228127345334363341e+01 1.012950947356092076e-04
2.805046135754907866e+01 9.100163196430027226e-05
3.531343861556884889e+01 8.482307443279401866e-05
4.445698525097307652e+01 7.523434951993539243e-05
5.596802846420851552e+01 6.537042815258005976e-05
7.045957328161131272e+01 5.241521598706957075e-05
8.870334730839388726e+01 2.952498525406552508e-05
1.116708980377407130e+02 1.919829995231559801e-05
1.405853312975872882e+02 1.438770406089711570e-05
1.769864460960343422e+02 1.264865168693523702e-05
2.228127345334363838e+02 1.016440688862800297e-05
2.805046135754906231e+02 2.654275743964323225e-06
3.531343861556885599e+02 8.930621391905393388e-06
4.445698525097302536e+02 7.351549750335890163e-06
5.596802846420847573e+02 1.001597817336174768e-06
7.045957328161139230e+02 -4.029282689008369426e-09
8.870334730839383610e+02 -7.216127042557178995e-07
