# xi_im, xi_npair, xi_weight, Rg
4.725615361182013239e-05 4.509450200000000000e+07 3.661856450318168402e+08 1.000000000000000000e+00
2.237160130508718701e-05 7.099855600000000000e+07 5.765089677169789076e+08 1.000000000000000000e+00
-1.685128701483905181e-05 1.118786970000000000e+08 9.082815426546614170e+08 1.000000000000000000e+00
1.353678730930962035e-05 1.762722520000000000e+08 1.430919364772638798e+09 1.000000000000000000e+00
2.930494353597959831e-05 2.778187030000000000e+08 2.255051060615219116e+09 1.000000000000000000e+00
3.726699261985983625e-06 4.381681140000000000e+08 3.556275781803067207e+09 1.000000000000000000e+00
1.957553562912856308e-05 6.912835500000000000e+08 5.610297199181748390e+09 1.000000000000000000e+00
-4.268832004411893647e-06 1.091040941000000000e+09 8.854200052366207123e+09 1.000000000000000000e+00
-4.357175352638457785e-06 1.722380899000000000e+09 1.397707807701764297e+10 1.000000000000000000e+00
-1.742102987067146238e-05 2.720562778000000000e+09 2.207677975336919403e+10 1.000000000000000000e+00
-1.378153762862060560e-06 4.297242088000000000e+09 3.487004515931975555e+10 1.000000000000000000e+00
3.157132754215902173e-06 6.787005698000000000e+09 5.507378960837555695e+10 1.000000000000000000e+00
1.024988648290075367e-06 1.071063520400000000e+10 8.691243251985670471e+10 1.000000000000000000e+00
6.174093390253363490e-06 1.688064918800000000e+10 1.369776569199833221e+11 1.000000000000000000e+00
2.365795586952710205e-06 2.657132471000000000e+10 2.156028913949523621e+11 1.000000000000000000e+00
7.696696689710061465e-06 4.173801422000000000e+10 3.386290166866425171e+11 1.000000000000000000e+00
3.119995533914209841e-06 6.544007281000000000e+10 5.308661560924367676e+11 1.000000000000000000e+00
3.883259506857637814e-06 1.023774271520000000e+11 8.303572030028035889e+11 1.000000000000000000e+00
4.333894702648338786e-07 1.596046075950000000e+11 1.294175774981448486e+12 1.000000000000000000e+00
-8.441945710033627652e-06 2.478661492030000000e+11 2.009323806533406006e+12 1.000000000000000000e+00
-9.921507433405246787e-06 3.838647205090000000e+11 3.110954407356791992e+12 1.000000000000000000e+00
-7.233242132769015702e-06 5.915560538810000000e+11 4.792728465939987305e+12 1.000000000000000000e+00
-6.248793268719435834e-06 9.055032525760000000e+11 7.334208099018661133e+12 1.000000000000000000e+00
-9.899350191999757101e-06 1.372974821576000000e+12 1.111687491343338672e+13 1.000000000000000000e+00
-7.628681424320962668e-06 2.055298833163000000e+12 1.663493743444722461e+13 1.000000000000000000e+00
-2.598516170131443612e-06 3.037922038858000000e+12 2.458115963423609375e+13 1.000000000000000000e+00
