# theta, gamma_t
2.805046135754908576e+00 -9.373342254930044578e-06
3.531343861556885511e+00 -1.536380689883190876e-05
4.445698525097306231e+00 -1.428700667066711682e-05
5.596802846420849242e+00 -1.531247436582677912e-05
7.045957328161134292e+00 -1.200173793598171868e-05
8.870334730839386950e+00 -6.102023649666156583e-06
1.116708980377407912e+01 -7.602851967162834055e-06
1.405853312975872704e+01 -6.859166369640478656e-06
1.769864460960344488e+01 -6.495195610982381232e-06
2.228127345334363341e+01 -3.736845775348363138e-06
2.805046135754907866e+01 -1.635618907424698968e-07
3.531343861556884889e+01 -1.972278609354365934e-06
4.445698525097307652e+01 -3.656295671692174265e-06
5.596802846420851552e+01 -1.806212587466212426e-06
7.045957328161131272e+01 -1.433002484122757724e-06
8.870334730839388726e+01 -3.832703528850575075e-06
1.116708980377407130e+02 -9.149140628345675617e-06
1.405853312975872882e+02 -1.062173662622054532e-05
1.769864460960343422e+02 -1.597650063389314406e-05
2.228127345334363838e+02 -1.644599086903071890e-05
2.805046135754906231e+02 -1.635809352031240642e-05
3.531343861556885599e+02 -1.460335559008000720e-05
4.445698525097302536e+02 -7.586233498641509363e-06
5.596802846420847573e+02 2.048228037404466376e-06
7.045957328161139230e+02 -7.083606922884619768e-06
8.870334730839383610e+02 -1.362773929206122587e-05
