# theta, gammat_shot_noise
2.805046135754908576e+00 2.339616727861299239e-09
3.531343861556885511e+00 1.662071304791880068e-09
4.445698525097306231e+00 9.125768911673741154e-10
5.596802846420849242e+00 6.991549384250865703e-10
7.045957328161134292e+00 4.744571152135871373e-10
8.870334730839386950e+00 3.828605201810142078e-10
1.116708980377407912e+01 2.638447901436674973e-10
1.405853312975872704e+01 1.606428418911283228e-10
1.769864460960344488e+01 1.095505248289442047e-10
2.228127345334363341e+01 9.386820448781099163e-11
2.805046135754907866e+01 8.662849896669417536e-11
3.531343861556884889e+01 6.914344082430285289e-11
4.445698525097307652e+01 6.309538562799793691e-11
5.596802846420851552e+01 7.160104874778306207e-11
7.045957328161131272e+01 8.865611971887860086e-11
8.870334730839388726e+01 1.241672695296196187e-10
1.116708980377407130e+02 1.929349921992868985e-10
1.405853312975872882e+02 2.826826167658019090e-10
1.769864460960343422e+02 4.327984249548754457e-10
2.228127345334363838e+02 5.756068535642386133e-10
2.805046135754906231e+02 6.636008825960624654e-10
3.531343861556885599e+02 6.431734087544630260e-10
4.445698525097302536e+02 5.203650125497288530e-10
5.596802846420847573e+02 4.453091938623249101e-10
7.045957328161139230e+02 4.400263785908861254e-10
8.870334730839383610e+02 4.060809456500488067e-10
