# theta, gamma_x
2.805046135754908576e+00 8.534628019003972761e-05
3.531343861556885511e+00 -3.755792168465673715e-05
4.445698525097306231e+00 1.763501703513958488e-05
5.596802846420849242e+00 -1.826441562183778823e-05
7.045957328161134292e+00 -7.575705555228594798e-06
8.870334730839386950e+00 -4.178172863634998155e-07
1.116708980377407912e+01 1.462484482362953839e-05
1.405853312975872704e+01 5.110925263761506663e-06
1.769864460960344488e+01 1.014843429140341393e-05
2.228127345334363341e+01 6.579609646073320991e-06
2.805046135754907866e+01 -5.095312776322358632e-06
3.531343861556884889e+01 4.470412855515104610e-06
4.445698525097307652e+01 -1.896899849326917217e-06
5.596802846420851552e+01 7.587211274238753169e-07
7.045957328161131272e+01 2.131795553614485061e-06
8.870334730839388726e+01 -5.235819967284346447e-07
1.116708980377407130e+02 -1.534675714660070427e-06
1.405853312975872882e+02 2.233305908494392919e-06
1.769864460960343422e+02 4.497540229319033115e-07
2.228127345334363838e+02 -2.970175495316733255e-06
2.805046135754906231e+02 -1.546170869406230023e-06
3.531343861556885599e+02 -7.173675776892880123e-07
4.445698525097302536e+02 2.594336809583870710e-07
5.596802846420847573e+02 -1.510085333394820906e-06
7.045957328161139230e+02 -2.298075640886512949e-06
8.870334730839383610e+02 1.081188926468987509e-07
