# theta, gamma_x
2.805046135754908576e+00 -3.537850536859756359e-08
3.531343861556885511e+00 -9.130212572362533200e-06
4.445698525097306231e+00 -6.538587490605042094e-06
5.596802846420849242e+00 -1.054823778654152990e-05
7.045957328161134292e+00 -5.030630024006757864e-06
8.870334730839386950e+00 1.579679951118857677e-06
1.116708980377407912e+01 1.631030494706328075e-06
1.405853312975872704e+01 -3.392571427123645779e-06
1.769864460960344488e+01 3.835238058358858134e-06
2.228127345334363341e+01 2.941208049720311075e-06
2.805046135754907866e+01 -7.039342079767610644e-07
3.531343861556884889e+01 2.888233072367427483e-06
4.445698525097307652e+01 3.218059381010853122e-06
5.596802846420851552e+01 2.196997894045154138e-06
7.045957328161131272e+01 1.757355308765729201e-06
8.870334730839388726e+01 1.954450260419196260e-06
1.116708980377407130e+02 -4.953010258976464024e-07
1.405853312975872882e+02 -3.905686695243205451e-06
1.769864460960343422e+02 -6.386670666093968440e-06
2.228127345334363838e+02 -5.696577376386834763e-06
2.805046135754906231e+02 -5.735344167992375945e-06
3.531343861556885599e+02 -6.455220842109408334e-06
4.445698525097302536e+02 -7.520982899066255320e-06
5.596802846420847573e+02 -9.571692482831038238e-06
7.045957328161139230e+02 -1.218347608117205554e-05
8.870334730839383610e+02 -1.336126932120423687e-05
