# theta, gammat_err
2.805046135754908576e+00 5.758938439688628374e-05
3.531343861556885511e+00 5.187429520583116646e-05
4.445698525097306231e+00 3.968430664581825665e-05
5.596802846420849242e+00 3.066107895399627128e-05
7.045957328161134292e+00 2.505601265718707820e-05
8.870334730839386950e+00 2.247838040230946906e-05
1.116708980377407912e+01 1.855231009939940030e-05
1.405853312975872704e+01 1.461012449808519862e-05
1.769864460960344488e+01 1.324306186515406380e-05
2.228127345334363341e+01 1.176230764785592120e-05
2.805046135754907866e+01 8.788031612057540089e-06
3.531343861556884889e+01 8.837951508423733932e-06
4.445698525097307652e+01 8.614671092901789005e-06
5.596802846420851552e+01 8.484686714563394788e-06
7.045957328161131272e+01 7.448873445306217736e-06
8.870334730839388726e+01 7.680508301556052489e-06
1.116708980377407130e+02 7.583457180658396592e-06
1.405853312975872882e+02 7.243657036969949493e-06
1.769864460960343422e+02 6.953767478033324182e-06
2.228127345334363838e+02 7.427251649099872243e-06
2.805046135754906231e+02 7.053458960656927087e-06
3.531343861556885599e+02 6.672610473213512919e-06
4.445698525097302536e+02 6.081508032431069090e-06
5.596802846420847573e+02 4.532384637215542009e-06
7.045957328161139230e+02 4.284410416011740401e-06
8.870334730839383610e+02 3.463222286973141640e-06
