# theta, boost
2.805046135754908576e+00 1.029346029496052140e+00
3.531343861556885511e+00 1.025680617400779981e+00
4.445698525097306231e+00 1.022651836792619395e+00
5.596802846420849242e+00 1.019899611516448479e+00
7.045957328161134292e+00 1.017541706923637879e+00
8.870334730839386950e+00 1.015592529180061598e+00
1.116708980377407912e+01 1.013469986597069994e+00
1.405853312975872704e+01 1.011659312729074944e+00
1.769864460960344488e+01 1.010117124239240827e+00
2.228127345334363341e+01 1.008634663154071909e+00
2.805046135754907866e+01 1.007444700373883339e+00
3.531343861556884889e+01 1.006553304952729766e+00
4.445698525097307652e+01 1.005826757189054010e+00
5.596802846420851552e+01 1.005201042757310148e+00
7.045957328161131272e+01 1.004911596851785882e+00
8.870334730839388726e+01 1.004838880945202906e+00
1.116708980377407130e+02 1.004802066179078190e+00
1.405853312975872882e+02 1.004763279339503157e+00
1.769864460960343422e+02 1.004716256380472350e+00
2.228127345334363838e+02 1.004944120542837771e+00
2.805046135754906231e+02 1.004718887670505545e+00
3.531343861556885599e+02 1.004549396257971905e+00
4.445698525097302536e+02 1.004377244204129438e+00
5.596802846420847573e+02 1.004279046873595149e+00
7.045957328161139230e+02 1.004281696321872586e+00
8.870334730839383610e+02 1.004542012994604550e+00
