# theta, gamma_t
2.805046135754908576e+00 2.173304477377437257e-04
3.531343861556885511e+00 1.432297888658489262e-04
4.445698525097306231e+00 7.327605194745788562e-05
5.596802846420849242e+00 8.338985161513851323e-05
7.045957328161134292e+00 4.963405859417614139e-05
8.870334730839386950e+00 6.853988129978098474e-05
1.116708980377407912e+01 4.836950138903499668e-05
1.405853312975872704e+01 4.903641945055399801e-05
1.769864460960344488e+01 3.086539024824982254e-05
2.228127345334363341e+01 3.832337225279214803e-05
2.805046135754907866e+01 3.176499478019240022e-05
3.531343861556884889e+01 2.486438364937284081e-05
4.445698525097307652e+01 9.412233445613809571e-06
5.596802846420851552e+01 7.988189864829227144e-06
7.045957328161131272e+01 1.445178804134166386e-05
8.870334730839388726e+01 9.553638183962527176e-06
1.116708980377407130e+02 1.125384900020136135e-05
1.405853312975872882e+02 1.982872136208079400e-06
1.769864460960343422e+02 2.804631871230898110e-06
2.228127345334363838e+02 -2.370872618284888118e-06
2.805046135754906231e+02 -9.980095331252943588e-07
3.531343861556885599e+02 3.691156613127066769e-06
4.445698525097302536e+02 7.019929655896566601e-06
5.596802846420847573e+02 8.093098617113194122e-06
7.045957328161139230e+02 1.316992701012635555e-06
8.870334730839383610e+02 -9.301047539447702806e-06
