# theta, gamma_t
2.805046135754908576e+00 1.705384224735644483e-03
3.531343861556885511e+00 1.338759394237843672e-03
4.445698525097306231e+00 1.025110919459934922e-03
5.596802846420849242e+00 7.466415875307739602e-04
7.045957328161134292e+00 6.594371943377616173e-04
8.870334730839386950e+00 5.151433799485198280e-04
1.116708980377407912e+01 4.526982515497286058e-04
1.405853312975872704e+01 3.744534868597421519e-04
1.769864460960344488e+01 3.437659300382548506e-04
2.228127345334363341e+01 2.949787121088460595e-04
2.805046135754907866e+01 2.637445671026001238e-04
3.531343861556884889e+01 2.161237556630014422e-04
4.445698525097307652e+01 1.915651631979428031e-04
5.596802846420851552e+01 1.595936232387972962e-04
7.045957328161131272e+01 1.416798083951422186e-04
8.870334730839388726e+01 1.140963600231165978e-04
1.116708980377407130e+02 8.622658148872464111e-05
1.405853312975872882e+02 6.739046388254502388e-05
1.769864460960343422e+02 5.145150644985016215e-05
2.228127345334363838e+02 3.717355539529872588e-05
2.805046135754906231e+02 2.550620261029223462e-05
3.531343861556885599e+02 1.651966433312679119e-05
4.445698525097302536e+02 1.140455106544458968e-05
5.596802846420847573e+02 8.566723845626459283e-06
7.045957328161139230e+02 6.311070846365594597e-06
8.870334730839383610e+02 3.618323811013259266e-06
