# xi_im, xi_npair, xi_weight, Rg
-4.331157721689670213e-05 3.491673300000000000e+07 4.189600853561329842e+08 8.677572344203470234e-01
4.977280541394234553e-07 5.465215000000000000e+07 6.552429163485441208e+08 8.677572344203470234e-01
1.879682402676637157e-05 8.568522900000000000e+07 1.026783786201502323e+09 8.677572344203470234e-01
-2.702827975756650093e-05 1.344534170000000000e+08 1.610353612789052010e+09 8.677572344203470234e-01
-3.755976696218776703e-05 2.110667340000000000e+08 2.526972770736747742e+09 8.677572344203470234e-01
2.232600719024431334e-05 3.317741710000000000e+08 3.970842326454814434e+09 8.677572344203470234e-01
-1.233679848093089067e-05 5.219110260000000000e+08 6.244606569020801544e+09 8.677572344203470234e-01
1.508224649920378385e-05 8.213029120000000000e+08 9.824084594925819397e+09 8.677572344203470234e-01
1.040986620957737809e-05 1.293274943000000000e+09 1.546683896382180405e+10 8.677572344203470234e-01
1.798784965020228922e-07 2.037759829000000000e+09 2.436607839111930847e+10 8.677572344203470234e-01
-1.229065595054419156e-06 3.211352963000000000e+09 3.839224166321774292e+10 8.677572344203470234e-01
-2.551346926815868705e-06 5.060430982000000000e+09 6.048931108848957062e+10 8.677572344203470234e-01
-3.871566511904092138e-06 7.969717083000000000e+09 9.525452354000517273e+10 8.677572344203470234e-01
-5.446599873277348594e-06 1.253899250200000000e+10 1.498546685597608032e+11 8.677572344203470234e-01
-6.604093123537153300e-06 1.970956374500000000e+10 2.355329004769767151e+11 8.677572344203470234e-01
-3.694674188013512645e-06 3.093093665400000000e+10 3.696013839303468018e+11 8.677572344203470234e-01
-5.307682922895186463e-06 4.845434914100000000e+10 5.789554451354381104e+11 8.677572344203470234e-01
-4.040271249935144158e-06 7.572979150600000000e+10 9.048299787039619141e+11 8.677572344203470234e-01
-2.144556665066006743e-06 1.179680466190000000e+11 1.409460660788078369e+12 8.677572344203470234e-01
6.051594796749141747e-07 1.831364785130000000e+11 2.188196717541635986e+12 8.677572344203470234e-01
2.015383454729675812e-06 2.832835436940000000e+11 3.385086122074368164e+12 8.677572344203470234e-01
2.116141511757219368e-06 4.361864177650000000e+11 5.212612043884491211e+12 8.677572344203470234e-01
-9.110430677222676333e-07 6.667378573520000000e+11 7.968236770938341797e+12 8.677572344203470234e-01
-1.931933466753801025e-06 1.008763192990000000e+12 1.205558707212864453e+13 8.677572344203470234e-01
-2.382570068208051317e-06 1.508050680319000000e+12 1.802246044844701172e+13 8.677572344203470234e-01
3.708767599046198721e-06 2.226477639894000000e+12 2.660602664155052344e+13 8.677572344203470234e-01
