# theta, gamma_t
2.805046135754908576e+00 -1.053015589609621923e-05
3.531343861556885511e+00 -1.828784161644479546e-05
4.445698525097306231e+00 -1.469565656025974831e-05
5.596802846420849242e+00 -1.025618171345717608e-05
7.045957328161134292e+00 -4.476874476591259937e-06
8.870334730839386950e+00 -8.080754143795585841e-06
1.116708980377407912e+01 -6.649469622405108492e-06
1.405853312975872704e+01 -4.715110308904383522e-06
1.769864460960344488e+01 -6.515378353686372027e-06
2.228127345334363341e+01 -6.603444422964994728e-06
2.805046135754907866e+01 -8.076759493980178721e-06
3.531343861556884889e+01 -5.517582172595517137e-06
4.445698525097307652e+01 -3.514197796779385727e-06
5.596802846420851552e+01 -5.316042240427552084e-06
7.045957328161131272e+01 -8.146943246123545098e-06
8.870334730839388726e+01 -5.329080348087837115e-06
1.116708980377407130e+02 -4.301319361808544660e-06
1.405853312975872882e+02 -4.190090618989079075e-06
1.769864460960343422e+02 -7.786494765362622717e-06
2.228127345334363838e+02 -6.071394630334924675e-06
2.805046135754906231e+02 -4.918356591772549077e-06
3.531343861556885599e+02 -1.015749544833147126e-06
4.445698525097302536e+02 -7.159245233675229539e-07
5.596802846420847573e+02 5.540689466228945025e-07
7.045957328161139230e+02 -1.836940690306651071e-06
8.870334730839383610e+02 -2.395663306703095660e-06
