# theta, gammat_shot_noise
2.805046135754908576e+00 1.661218367136674352e-09
3.531343861556885511e+00 1.065525340763499765e-09
4.445698525097306231e+00 6.624587232650224891e-10
5.596802846420849242e+00 4.200783003516375151e-10
7.045957328161134292e+00 3.045828882079109775e-10
8.870334730839386950e+00 2.350880352792489329e-10
1.116708980377407912e+01 1.258470025224264645e-10
1.405853312975872704e+01 1.069483177991644518e-10
1.769864460960344488e+01 9.703936800670511836e-11
2.228127345334363341e+01 5.920240641831330652e-11
2.805046135754907866e+01 6.019155059571308263e-11
3.531343861556884889e+01 5.914650535894004963e-11
4.445698525097307652e+01 6.091137796853088957e-11
5.596802846420851552e+01 5.973781582586039751e-11
7.045957328161131272e+01 6.935073751805518220e-11
8.870334730839388726e+01 7.965928227807663964e-11
1.116708980377407130e+02 1.004305681354356266e-10
1.405853312975872882e+02 1.252859472080632800e-10
1.769864460960343422e+02 1.704687253980763670e-10
2.228127345334363838e+02 2.538744839227866205e-10
2.805046135754906231e+02 3.350841747798593031e-10
3.531343861556885599e+02 3.496008387107486783e-10
4.445698525097302536e+02 3.269604039040620174e-10
5.596802846420847573e+02 2.566312559099447155e-10
7.045957328161139230e+02 2.200253367278389458e-10
8.870334730839383610e+02 2.430553349516134373e-10
