# theta, gamma_x
2.805046135754908576e+00 6.252726255801040081e-05
3.531343861556885511e+00 3.900019397955512170e-05
4.445698525097306231e+00 7.876993028392368366e-05
5.596802846420849242e+00 -1.107698201234698574e-06
7.045957328161134292e+00 7.530312185510359560e-06
8.870334730839386950e+00 1.766966458666819852e-05
1.116708980377407912e+01 -2.268161677110695716e-06
1.405853312975872704e+01 -1.846964746171694675e-05
1.769864460960344488e+01 -1.864994288400290031e-05
2.228127345334363341e+01 4.032872010891117484e-07
2.805046135754907866e+01 -1.292871525193207075e-05
3.531343861556884889e+01 -1.520513376021253240e-06
4.445698525097307652e+01 -1.218718924304447263e-06
5.596802846420851552e+01 1.602150014362183911e-06
7.045957328161131272e+01 5.094992555108755346e-06
8.870334730839388726e+01 5.020763222099541679e-06
1.116708980377407130e+02 8.166183250283685590e-06
1.405853312975872882e+02 6.138229448092897535e-06
1.769864460960343422e+02 5.290647954374568028e-06
2.228127345334363838e+02 2.678735309983715630e-06
2.805046135754906231e+02 9.903884937233487222e-07
3.531343861556885599e+02 2.590325309919425265e-06
4.445698525097302536e+02 -5.430877388715267328e-07
5.596802846420847573e+02 1.917361698191372089e-06
7.045957328161139230e+02 -2.159873831665078310e-08
8.870334730839383610e+02 1.989858042632297651e-07
