# theta, gammat_err
2.805046135754908576e+00 2.886682059475792875e-06
3.531343861556885511e+00 2.280024597726783019e-06
4.445698525097306231e+00 1.772707836245438207e-06
5.596802846420849242e+00 1.620474749053643205e-06
7.045957328161134292e+00 1.300291526666564566e-06
8.870334730839386950e+00 1.076886813657101198e-06
1.116708980377407912e+01 8.337452651889965961e-07
1.405853312975872704e+01 6.430557747337478081e-07
1.769864460960344488e+01 5.761152364711169492e-07
2.228127345334363341e+01 4.779177652480516659e-07
2.805046135754907866e+01 4.116931751615018452e-07
3.531343861556884889e+01 3.748429532547580812e-07
4.445698525097307652e+01 3.477398318862770803e-07
5.596802846420851552e+01 3.132551804512189238e-07
7.045957328161131272e+01 2.910324243839543551e-07
8.870334730839388726e+01 2.580715766122430708e-07
1.116708980377407130e+02 2.477820364918674133e-07
1.405853312975872882e+02 2.387208440553784323e-07
1.769864460960343422e+02 2.433895698407164994e-07
2.228127345334363838e+02 2.276564643649999167e-07
2.805046135754906231e+02 2.210075509244918322e-07
3.531343861556885599e+02 2.148869838269186428e-07
4.445698525097302536e+02 1.975991767945941678e-07
5.596802846420847573e+02 1.748243505917851306e-07
7.045957328161139230e+02 1.618873154625714987e-07
8.870334730839383610e+02 1.790364242122759514e-07
