# theta, boost
2.805046135754908576e+00 9.955931243734048586e-01
3.531343861556885511e+00 9.966838523918013504e-01
4.445698525097306231e+00 9.976131482635212100e-01
5.596802846420849242e+00 9.979292875475350710e-01
7.045957328161134292e+00 9.982888079093562572e-01
8.870334730839386950e+00 9.985728896815816436e-01
1.116708980377407912e+01 9.987640940419304503e-01
1.405853312975872704e+01 9.989761661790483860e-01
1.769864460960344488e+01 9.993642188000827487e-01
2.228127345334363341e+01 9.995148152829361754e-01
2.805046135754907866e+01 9.997072688070348656e-01
3.531343861556884889e+01 9.997115284071721453e-01
4.445698525097307652e+01 9.997036742208726956e-01
5.596802846420851552e+01 9.999041358143246905e-01
7.045957328161131272e+01 9.998659561342392310e-01
8.870334730839388726e+01 9.995009564118423340e-01
1.116708980377407130e+02 9.992869058169053798e-01
1.405853312975872882e+02 9.990905883285366995e-01
1.769864460960343422e+02 9.991682419458750575e-01
2.228127345334363838e+02 9.993813482131221893e-01
2.805046135754906231e+02 9.997829155844361049e-01
3.531343861556885599e+02 1.000027534000791807e+00
4.445698525097302536e+02 9.992775796527394450e-01
5.596802846420847573e+02 9.979324038130417129e-01
7.045957328161139230e+02 9.969392895778597108e-01
8.870334730839383610e+02 9.973800921771168726e-01
