# theta, gamma_t
2.805046135754908576e+00 6.306722605868123064e-06
3.531343861556885511e+00 1.880666934881344519e-06
4.445698525097306231e+00 -4.324157052754183091e-07
5.596802846420849242e+00 3.218219149508685065e-06
7.045957328161134292e+00 -7.147109389316664147e-09
8.870334730839386950e+00 -1.112287039521011046e-06
1.116708980377407912e+01 -4.032809172572090585e-07
1.405853312975872704e+01 -8.796669948621414636e-08
1.769864460960344488e+01 2.678786631362737918e-07
2.228127345334363341e+01 -6.182641138419090559e-07
2.805046135754907866e+01 -6.006452129386336487e-07
3.531343861556884889e+01 -5.771884661880144636e-07
4.445698525097307652e+01 2.811341093758554712e-07
5.596802846420851552e+01 -4.019387721098735705e-07
7.045957328161131272e+01 -8.008635514017220542e-07
8.870334730839388726e+01 -6.278126991987156813e-07
1.116708980377407130e+02 -1.103001291361431276e-06
1.405853312975872882e+02 -1.966612860642337699e-06
1.769864460960343422e+02 -2.102130267974113677e-06
2.228127345334363838e+02 -2.194322294961658615e-06
2.805046135754906231e+02 -2.133373195969940016e-06
3.531343861556885599e+02 -2.221408231043373936e-06
4.445698525097302536e+02 -1.888695488690539543e-06
5.596802846420847573e+02 -2.061225874460769727e-06
7.045957328161139230e+02 -2.487611186420256919e-06
8.870334730839383610e+02 -4.103238781792190019e-06
