# theta, gamma_t
2.805046135754908576e+00 -2.974475196926844925e-07
3.531343861556885511e+00 -6.165135834657260116e-07
4.445698525097306231e+00 -2.500804211057747400e-07
5.596802846420849242e+00 1.176273303298490865e-07
7.045957328161134292e+00 3.858743072361037704e-07
8.870334730839386950e+00 1.877963287978870583e-07
1.116708980377407912e+01 1.041069665846192975e-07
1.405853312975872704e+01 -3.507227473234571784e-08
1.769864460960344488e+01 2.029511547475423877e-08
2.228127345334363341e+01 1.943000567170871123e-07
2.805046135754907866e+01 1.840863511941910920e-07
3.531343861556884889e+01 -1.110123155338035444e-07
4.445698525097307652e+01 1.327120719759003085e-08
5.596802846420851552e+01 -1.440709775596454574e-07
7.045957328161131272e+01 -2.740398230579089731e-07
8.870334730839388726e+01 -5.217888799257239218e-07
1.116708980377407130e+02 -1.019531251351630809e-06
1.405853312975872882e+02 -1.522679655579302607e-06
1.769864460960343422e+02 -1.928020620143350428e-06
2.228127345334363838e+02 -2.213544342508441037e-06
2.805046135754906231e+02 -2.105678633756135629e-06
3.531343861556885599e+02 -2.122775112083955534e-06
4.445698525097302536e+02 -2.058453896120931222e-06
5.596802846420847573e+02 -2.112810943564945470e-06
7.045957328161139230e+02 -2.657314257459863822e-06
8.870334730839383610e+02 -4.085517010952993988e-06
