# theta, gammat_shot_noise
2.805046135754908576e+00 9.174156826526310135e-12
3.531343861556885511e+00 7.088170859611730235e-12
4.445698525097306231e+00 3.597570144044418409e-12
5.596802846420849242e+00 2.448967696104119972e-12
7.045957328161134292e+00 1.824044073322919076e-12
8.870334730839386950e+00 1.242877230553741589e-12
1.116708980377407912e+01 8.562917167182693890e-13
1.405853312975872704e+01 6.838480420427658999e-13
1.769864460960344488e+01 4.488823308787727456e-13
2.228127345334363341e+01 2.920732219243196630e-13
2.805046135754907866e+01 2.397783696126227891e-13
3.531343861556884889e+01 1.949917014254878440e-13
4.445698525097307652e+01 2.088685211236254142e-13
5.596802846420851552e+01 2.514529968899315261e-13
7.045957328161131272e+01 3.340268920113070608e-13
8.870334730839388726e+01 4.824807746028606349e-13
1.116708980377407130e+02 7.241445057610157538e-13
1.405853312975872882e+02 1.139015154295779702e-12
1.769864460960343422e+02 1.708116907640069979e-12
2.228127345334363838e+02 2.605334930739673976e-12
2.805046135754906231e+02 3.274348477107307644e-12
3.531343861556885599e+02 3.517826656884563099e-12
4.445698525097302536e+02 3.633828863951547511e-12
5.596802846420847573e+02 4.106231960794976270e-12
7.045957328161139230e+02 5.786386603594289594e-12
8.870334730839383610e+02 9.031640172668711982e-12
