# theta, gamma_x
2.805046135754908576e+00 -2.451680913233555965e-07
3.531343861556885511e+00 -4.616601721019094428e-06
4.445698525097306231e+00 7.989093187541394918e-07
5.596802846420849242e+00 8.431998019567140253e-07
7.045957328161134292e+00 -1.499993422299057157e-06
8.870334730839386950e+00 -1.454732575346696965e-07
1.116708980377407912e+01 -5.201937252343913948e-07
1.405853312975872704e+01 -7.773710151318008227e-07
1.769864460960344488e+01 2.494169597947336385e-07
2.228127345334363341e+01 6.678592373951472601e-09
2.805046135754907866e+01 -7.888046518971955150e-07
3.531343861556884889e+01 -1.578822105266563715e-07
4.445698525097307652e+01 -2.801205272630831417e-07
5.596802846420851552e+01 -2.444351948931802754e-07
7.045957328161131272e+01 -2.978843175190639152e-07
8.870334730839388726e+01 -1.258565248201760277e-07
1.116708980377407130e+02 -2.234698565282804557e-07
1.405853312975872882e+02 1.252917698577234464e-07
1.769864460960343422e+02 5.742112223202555246e-08
2.228127345334363838e+02 1.826572663229124161e-07
2.805046135754906231e+02 4.837445788100238008e-08
3.531343861556885599e+02 -6.156989403382226453e-08
4.445698525097302536e+02 -3.161814322811190347e-08
5.596802846420847573e+02 -3.480345019208620288e-08
7.045957328161139230e+02 -7.248163077471657762e-08
8.870334730839383610e+02 -2.253439806112046443e-07
