# theta, gammat_err
2.805046135754908576e+00 5.792372066386398335e-07
3.531343861556885511e+00 8.005635157959681983e-07
4.445698525097306231e+00 6.579536074069435796e-07
5.596802846420849242e+00 3.903753573350892759e-07
7.045957328161134292e+00 3.327967772663129527e-07
8.870334730839386950e+00 2.191376269414891181e-07
1.116708980377407912e+01 2.280584077248944065e-07
1.405853312975872704e+01 2.540957187031152836e-07
1.769864460960344488e+01 2.828784973990655473e-07
2.228127345334363341e+01 1.434140800050868451e-07
2.805046135754907866e+01 1.644648225833572555e-07
3.531343861556884889e+01 1.108204349887116304e-07
4.445698525097307652e+01 1.367208315456847962e-07
5.596802846420851552e+01 9.941794801219548167e-08
7.045957328161131272e+01 1.025391500291733407e-07
8.870334730839388726e+01 9.393842991837999975e-08
1.116708980377407130e+02 1.107059568239167279e-07
1.405853312975872882e+02 7.005171370606823066e-08
1.769864460960343422e+02 7.502631270149084254e-08
2.228127345334363838e+02 7.047063001015238209e-08
2.805046135754906231e+02 8.177635265211086360e-08
3.531343861556885599e+02 5.983158449686843077e-08
4.445698525097302536e+02 5.829414359763383847e-08
5.596802846420847573e+02 4.576271516786840016e-08
7.045957328161139230e+02 4.851078849676734888e-08
8.870334730839383610e+02 5.140595626400873777e-08
