# theta, boost
2.805046135754908576e+00 9.975520754260668310e-01
3.531343861556885511e+00 9.980191733694446787e-01
4.445698525097306231e+00 9.985028505234609941e-01
5.596802846420849242e+00 9.986491816223911355e-01
7.045957328161134292e+00 9.989376438809219882e-01
8.870334730839386950e+00 9.991137539926384648e-01
1.116708980377407912e+01 9.992298267041496151e-01
1.405853312975872704e+01 9.996423927118240904e-01
1.769864460960344488e+01 9.996189284164344047e-01
2.228127345334363341e+01 9.998834919884959094e-01
2.805046135754907866e+01 1.000131260525976007e+00
3.531343861556884889e+01 1.000194302699658699e+00
4.445698525097307652e+01 1.000238787255518735e+00
5.596802846420851552e+01 1.000098170901874362e+00
7.045957328161131272e+01 9.999606663511884097e-01
8.870334730839388726e+01 9.996666172949083551e-01
1.116708980377407130e+02 9.992425467064086630e-01
1.405853312975872882e+02 9.990281285242833542e-01
1.769864460960343422e+02 9.991319412634899200e-01
2.228127345334363838e+02 9.995506226328537691e-01
2.805046135754906231e+02 9.997958805734711296e-01
3.531343861556885599e+02 1.000231720548838465e+00
4.445698525097302536e+02 1.000642239535002975e+00
5.596802846420847573e+02 1.000459609330928146e+00
7.045957328161139230e+02 1.000825371486774307e+00
8.870334730839383610e+02 1.001387315285652502e+00
