# theta, gamma_t
2.805046135754908576e+00 -1.069697954248718618e-06
3.531343861556885511e+00 -5.246154184552139789e-07
4.445698525097306231e+00 -2.499823288881941957e-08
5.596802846420849242e+00 5.958461313802178693e-07
7.045957328161134292e+00 -6.041789072923609458e-07
8.870334730839386950e+00 -2.313913398579335162e-07
1.116708980377407912e+01 4.085671515394310797e-07
1.405853312975872704e+01 -5.697602090216249017e-08
1.769864460960344488e+01 2.642279952505986783e-07
2.228127345334363341e+01 4.149945750670912148e-07
2.805046135754907866e+01 9.467105191303750085e-08
3.531343861556884889e+01 -1.053817947765952929e-07
4.445698525097307652e+01 -8.589839324535563497e-10
5.596802846420851552e+01 -1.784313119905119191e-07
7.045957328161131272e+01 1.422936002652627091e-07
8.870334730839388726e+01 4.134537678503767748e-08
1.116708980377407130e+02 -6.816602920778160477e-08
1.405853312975872882e+02 -1.298297877103867204e-07
1.769864460960343422e+02 -1.571078177284045049e-07
2.228127345334363838e+02 -1.341690614943554783e-07
2.805046135754906231e+02 -2.942423916807968129e-07
3.531343861556885599e+02 -2.223946176852415422e-07
4.445698525097302536e+02 -3.904684173262606305e-07
5.596802846420847573e+02 -4.771099847844962502e-07
7.045957328161139230e+02 -6.297963711511310655e-07
8.870334730839383610e+02 -7.953427782183580981e-07
