# xi_im, xi_npair, xi_weight, Rg
6.380082523179596964e-07 5.134800800000000000e+07 5.186331009596210718e+07 1.000000000000000000e+00
3.040949907604281308e-07 8.100744700000000000e+07 8.181377598929059505e+07 1.000000000000000000e+00
-6.447650214516346987e-08 1.279314650000000000e+08 1.291933040788701773e+08 1.000000000000000000e+00
6.120504949987125367e-07 2.019104060000000000e+08 2.038828576990107298e+08 1.000000000000000000e+00
6.412933497125660096e-08 3.187526170000000000e+08 3.218364201418265104e+08 1.000000000000000000e+00
5.587703103553933654e-08 5.035147690000000000e+08 5.083491272868245840e+08 1.000000000000000000e+00
4.978253747409890340e-07 7.954220240000000000e+08 8.030183616067230701e+08 1.000000000000000000e+00
4.164879963338602354e-07 1.256730526000000000e+09 1.268667564590517759e+09 1.000000000000000000e+00
1.726075974255096217e-07 1.985694359000000000e+09 2.004408655563323975e+09 1.000000000000000000e+00
7.564813099954608520e-08 3.137875288000000000e+09 3.167208914091551304e+09 1.000000000000000000e+00
1.585978883424384195e-07 4.956420899000000000e+09 5.002261987059730530e+09 1.000000000000000000e+00
5.432364601855680798e-08 7.824080024000000000e+09 7.895697109832266808e+09 1.000000000000000000e+00
1.134252700076854326e-07 1.233523202600000000e+10 1.244640577125329399e+10 1.000000000000000000e+00
1.066920887911196159e-07 1.941329352200000000e+10 1.958503685306636429e+10 1.000000000000000000e+00
4.435461183252831623e-08 3.048835662500000000e+10 3.075135814030501556e+10 1.000000000000000000e+00
-2.171563253161398309e-07 4.773748049500000000e+10 4.813558714097743988e+10 1.000000000000000000e+00
-1.169707854405577806e-07 7.451880025600000000e+10 7.511741860146113586e+10 1.000000000000000000e+00
-3.372199022886763987e-08 1.159073897720000000e+11 1.167882279227506866e+11 1.000000000000000000e+00
-1.001409515053250373e-07 1.794871938580000000e+11 1.807493443212689209e+11 1.000000000000000000e+00
-1.617569886040879036e-07 2.766533067530000000e+11 2.784249728896604004e+11 1.000000000000000000e+00
-1.187059210095603374e-07 4.250430226550000000e+11 4.274518965751167603e+11 1.000000000000000000e+00
-3.052214115472476179e-07 6.495676290480000000e+11 6.527173105369833984e+11 1.000000000000000000e+00
-4.196021164501779190e-07 9.847997158830000000e+11 9.885410024732307129e+11 1.000000000000000000e+00
-4.764631069771675526e-07 1.477384920281000000e+12 1.481145778600930908e+12 1.000000000000000000e+00
-3.727488020987364018e-07 2.182906714477000000e+12 2.184993694798281250e+12 1.000000000000000000e+00
-9.159279396580932865e-08 3.173185148444000000e+12 3.170509469870377441e+12 1.000000000000000000e+00
