# theta, gammat_shot_noise
2.805046135754908576e+00 7.586631563028036731e-13
3.531343861556885511e+00 9.098232832522394740e-13
4.445698525097306231e+00 6.049195390904948916e-13
5.596802846420849242e+00 2.450735486004395491e-13
7.045957328161134292e+00 2.198604303572879984e-13
8.870334730839386950e+00 1.842001519164486599e-13
1.116708980377407912e+01 8.467293082613194178e-14
1.405853312975872704e+01 6.249638468652298317e-14
1.769864460960344488e+01 1.214766509330282309e-14
2.228127345334363341e+01 2.653168989141512677e-14
2.805046135754907866e+01 2.364765632682199776e-14
3.531343861556884889e+01 2.959013901663393705e-14
4.445698525097307652e+01 2.802762686766115166e-14
5.596802846420851552e+01 4.043024407390419221e-14
7.045957328161131272e+01 3.575540403553241369e-14
8.870334730839388726e+01 5.504458175376985429e-14
1.116708980377407130e+02 8.190922961684446609e-14
1.405853312975872882e+02 1.195635602973617495e-13
1.769864460960343422e+02 1.781435957221820916e-13
2.228127345334363838e+02 2.440115454151318092e-13
2.805046135754906231e+02 3.131003789139154968e-13
3.531343861556885599e+02 3.103304553911671701e-13
4.445698525097302536e+02 2.801642894144885664e-13
5.596802846420847573e+02 2.892978533110484009e-13
7.045957328161139230e+02 3.034408564598507404e-13
8.870334730839383610e+02 3.705218915254457738e-13
