# theta, gamma_x
2.805046135754908576e+00 8.847264324767797411e-07
3.531343861556885511e+00 -4.999741713641518377e-07
4.445698525097306231e+00 1.051766066746415357e-07
5.596802846420849242e+00 1.238225516128513616e-07
7.045957328161134292e+00 -1.925870786998304738e-07
8.870334730839386950e+00 -1.676419746963777597e-07
1.116708980377407912e+01 5.284386791565188887e-07
1.405853312975872704e+01 4.719169296609636153e-07
1.769864460960344488e+01 3.993245147643192482e-07
2.228127345334363341e+01 2.541788983260636288e-07
2.805046135754907866e+01 -4.138596569606829289e-08
3.531343861556884889e+01 -5.818564743205181851e-08
4.445698525097307652e+01 1.593189118129948954e-07
5.596802846420851552e+01 3.223898740941557951e-08
7.045957328161131272e+01 -1.235772084791785379e-07
8.870334730839388726e+01 -1.056856412634957692e-07
1.116708980377407130e+02 -9.860366434636366978e-08
1.405853312975872882e+02 -3.912193688927858047e-08
1.769864460960343422e+02 -1.649361684648687439e-08
2.228127345334363838e+02 -4.644549300602755756e-08
2.805046135754906231e+02 2.888327577813623984e-09
3.531343861556885599e+02 2.406817364596444465e-08
4.445698525097302536e+02 -5.576386013868681273e-08
5.596802846420847573e+02 -2.389505803400706442e-08
7.045957328161139230e+02 -4.146499661134583755e-08
8.870334730839383610e+02 -1.520471064659587789e-10
