# theta, gammat_err
2.805046135754908576e+00 5.842288307805094813e-05
3.531343861556885511e+00 5.294300098841751617e-05
4.445698525097306231e+00 3.729940201019573168e-05
5.596802846420849242e+00 3.189146956928453486e-05
7.045957328161134292e+00 2.479959967070804287e-05
8.870334730839386950e+00 2.162686711265571161e-05
1.116708980377407912e+01 1.657985989156169100e-05
1.405853312975872704e+01 1.408751319166566742e-05
1.769864460960344488e+01 1.239868073439725440e-05
2.228127345334363341e+01 1.085653978272838295e-05
2.805046135754907866e+01 8.825148330460113577e-06
3.531343861556884889e+01 7.720933192993124290e-06
4.445698525097307652e+01 7.541786525558318886e-06
5.596802846420851552e+01 6.511744160094322145e-06
7.045957328161131272e+01 6.095326056778276292e-06
8.870334730839388726e+01 5.973927674341912372e-06
1.116708980377407130e+02 6.289173139772045900e-06
1.405853312975872882e+02 5.940514017149397601e-06
1.769864460960343422e+02 5.415820964422842357e-06
2.228127345334363838e+02 5.246302948857795521e-06
2.805046135754906231e+02 5.137961577975363138e-06
3.531343861556885599e+02 4.585730980167180723e-06
4.445698525097302536e+02 4.074280912467857277e-06
5.596802846420847573e+02 2.988454513677075695e-06
7.045957328161139230e+02 2.820025185794720494e-06
8.870334730839383610e+02 2.504842325755632843e-06
