# theta, boost
2.805046135754908576e+00 1.025605514526016560e+00
3.531343861556885511e+00 1.021921150584936155e+00
4.445698525097306231e+00 1.018858652262358611e+00
5.596802846420849242e+00 1.016112303854942667e+00
7.045957328161134292e+00 1.013743774692668076e+00
8.870334730839386950e+00 1.011758490529206300e+00
1.116708980377407912e+01 1.009637224100629949e+00
1.405853312975872704e+01 1.007814450323346822e+00
1.769864460960344488e+01 1.006231069601589256e+00
2.228127345334363341e+01 1.004714109220217200e+00
2.805046135754907866e+01 1.003476114246646400e+00
3.531343861556884889e+01 1.002518092641331737e+00
4.445698525097307652e+01 1.001744483494093840e+00
5.596802846420851552e+01 1.001052615185934025e+00
7.045957328161131272e+01 1.000708930862208135e+00
8.870334730839388726e+01 1.000564001256808000e+00
1.116708980377407130e+02 1.000470896582823066e+00
1.405853312975872882e+02 1.000344325236996568e+00
1.769864460960343422e+02 1.000207793933580946e+00
2.228127345334363838e+02 1.000351143753241079e+00
2.805046135754906231e+02 1.000083259419674686e+00
3.531343861556885599e+02 9.999100312905288002e-01
4.445698525097302536e+02 9.997222865581232298e-01
5.596802846420847573e+02 9.995410816462391157e-01
7.045957328161139230e+02 9.993473343380979701e-01
8.870334730839383610e+02 9.991352483447981658e-01
