# theta, gamma_t
2.805046135754908576e+00 6.562394165094199202e-04
3.531343861556885511e+00 4.694466262792680740e-04
4.445698525097306231e+00 4.243393772614478072e-04
5.596802846420849242e+00 3.387485655697963349e-04
7.045957328161134292e+00 2.738983017842126495e-04
8.870334730839386950e+00 1.831472677571576867e-04
1.116708980377407912e+01 1.376221644666465781e-04
1.405853312975872704e+01 1.245916541417326840e-04
1.769864460960344488e+01 1.160935392631368184e-04
2.228127345334363341e+01 8.861394109100078232e-05
2.805046135754907866e+01 8.572034179302975051e-05
3.531343861556884889e+01 6.866419967334221042e-05
4.445698525097307652e+01 5.928128844374703387e-05
5.596802846420851552e+01 4.616776494760405260e-05
7.045957328161131272e+01 3.065751072163157254e-05
8.870334730839388726e+01 2.448875606832655782e-05
1.116708980377407130e+02 1.927406379940974405e-05
1.405853312975872882e+02 1.390575839687530032e-05
1.769864460960343422e+02 9.589875717302305400e-06
2.228127345334363838e+02 6.904598579370405775e-06
2.805046135754906231e+02 6.596064106465832827e-06
3.531343861556885599e+02 8.227354204692402523e-06
4.445698525097302536e+02 9.973633523506501405e-06
5.596802846420847573e+02 1.434295929011144843e-05
7.045957328161139230e+02 7.495899484953864258e-07
8.870334730839383610e+02 -1.039909330309111369e-05
