# theta, gamma_t
2.805046135754908576e+00 2.914153651349276112e-04
3.531343861556885511e+00 1.764232118148621059e-04
4.445698525097306231e+00 1.567468106276219463e-04
5.596802846420849242e+00 1.673128373038062589e-04
7.045957328161134292e+00 1.311036964932687479e-04
8.870334730839386950e+00 1.148266937421960559e-04
1.116708980377407912e+01 8.815790560695256335e-05
1.405853312975872704e+01 6.517287892377769036e-05
1.769864460960344488e+01 6.802357048735591875e-05
2.228127345334363341e+01 3.090575522272993083e-05
2.805046135754907866e+01 4.205048197861504465e-05
3.531343861556884889e+01 1.465763707450806188e-05
4.445698525097307652e+01 1.699924825559153059e-05
5.596802846420851552e+01 5.731987876483998850e-06
7.045957328161131272e+01 1.857512146729545810e-05
8.870334730839388726e+01 1.074658581398374813e-05
1.116708980377407130e+02 1.125904687921140123e-05
1.405853312975872882e+02 7.759562390486859657e-06
1.769864460960343422e+02 4.446179313563717065e-06
2.228127345334363838e+02 5.951786926625342964e-06
2.805046135754906231e+02 5.336344491127807720e-06
3.531343861556885599e+02 3.397160863179579317e-06
4.445698525097302536e+02 -8.143649926802829154e-07
5.596802846420847573e+02 -3.316561585917746248e-07
7.045957328161139230e+02 1.053312204376509058e-06
8.870334730839383610e+02 -1.388869202284827784e-06
