# xi_im, xi_npair, xi_weight, Rg
9.063239281833533677e-05 3.627439900000000000e+07 2.949823759032461643e+08 6.915813945088769010e-01
-3.178414106718029553e-05 5.695839100000000000e+07 4.630318122007166743e+08 6.915813945088769010e-01
2.734178573514951246e-05 8.958323000000000000e+07 7.278766056365292072e+08 6.915813945088769010e-01
-1.412617368895857767e-05 1.409171090000000000e+08 1.144649131747928381e+09 6.915813945088769010e-01
-4.935888062481748864e-06 2.217798780000000000e+08 1.800961299519519567e+09 6.915813945088769010e-01
4.114227974053726001e-06 3.493649050000000000e+08 2.836265447618943691e+09 6.915813945088769010e-01
1.884134079792055880e-05 5.504991920000000000e+08 4.467930850241674423e+09 6.915813945088769010e-01
4.381834514009951544e-06 8.677814310000000000e+08 7.041380326571143150e+09 6.915813945088769010e-01
6.690105984432099684e-06 1.368635537000000000e+09 1.110310878053521538e+10 6.915813945088769010e-01
2.444895851354205746e-07 2.159411571000000000e+09 1.751518389133197784e+10 6.915813945088769010e-01
-6.202546725438865871e-06 3.407789944000000000e+09 2.763628362441810226e+10 6.915813945088769010e-01
5.404598931673401710e-06 5.377529649000000000e+09 4.360364067077829742e+10 6.915813945088769010e-01
1.321713858524505737e-06 8.479928747000000000e+09 6.875102922403268433e+10 6.915813945088769010e-01
3.140386377799393338e-06 1.335770197200000000e+10 1.082847365686982727e+11 6.915813945088769010e-01
4.995451486970883833e-06 2.101941371700000000e+10 1.703806322599068298e+11 6.915813945088769010e-01
3.503270425421377883e-06 3.302269662400000000e+10 2.676558267130812683e+11 6.915813945088769010e-01
-9.674456962933106238e-08 5.177926458500000000e+10 4.196581832658350220e+11 6.915813945088769010e-01
4.945223018963515181e-06 8.096279410700000000e+10 6.561301820553392334e+11 6.915813945088769010e-01
-1.084542758209573363e-06 1.261579371950000000e+11 1.022266490672838257e+12 6.915813945088769010e-01
-8.817472118576187958e-06 1.959623659040000000e+11 1.587821174880413086e+12 6.915813945088769010e-01
-9.363122907090707446e-06 3.032732575020000000e+11 2.457259386520151855e+12 6.915813945088769010e-01
-5.909132398954733072e-06 4.672027616590000000e+11 3.785535723449996582e+12 6.915813945088769010e-01
-3.842790141877575682e-06 7.148971412050000000e+11 5.792496327112278320e+12 6.915813945088769010e-01
-7.081916255988766232e-06 1.083710993923000000e+12 8.780277437009189453e+12 6.915813945088769010e-01
-6.544054458554953457e-06 1.621758213741000000e+12 1.313732635696105664e+13 6.915813945088769010e-01
2.384679117398171729e-06 2.396453165937000000e+12 1.940337724840063281e+13 6.915813945088769010e-01
