# xi_im, xi_npair, xi_weight, Rg, sum_w_l, sum_w_r,
5.992093263077593725e-06 2.323473887000000000e+09 1.890565647380072784e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
4.793477828022444013e-07 3.659868265000000000e+09 2.978029735640026093e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
5.245149165397695861e-06 5.770540702000000000e+09 4.695551491521333313e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
7.468178378732052507e-06 9.098956158000000000e+09 7.404024056757315063e+10 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.649412101594358946e-06 1.434970930900000000e+10 1.167664722368429871e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-8.989426552341967987e-07 2.264312013700000000e+10 1.842527114392274475e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.699456021566267801e-06 3.574504765800000000e+10 2.908709483770749512e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-5.945684208381126669e-08 5.643433248400000000e+10 4.592331711347976074e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-3.186170701975278821e-06 8.912641248600000000e+10 7.252767512827764893e+11 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-2.955475133725439905e-06 1.408072492190000000e+11 1.145858650161238037e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-1.956017156436275723e-06 2.224397302150000000e+11 1.810203073032444580e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
5.980823808530109587e-07 3.512814748820000000e+11 2.858778680204734375e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.383351704085587654e-06 5.542813795160000000e+11 4.510904623868451172e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.424400063355406964e-06 8.735771210090000000e+11 7.109571594040798828e+12 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.766017742773113285e-06 1.374964664718000000e+12 1.119036820445362695e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
3.918097340080730609e-06 2.160261104252000000e+12 1.758187571441320312e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
1.451815947638446586e-06 3.387326760756000000e+12 2.756915143499201953e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.734831331619975491e-06 5.296679400641000000e+12 4.310986459373973438e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-1.329046218933009595e-06 8.253518920834000000e+12 6.717585795006442969e+13 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-5.820344133295195953e-06 1.281740727729900000e+13 1.043251593079614688e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-7.672453883453301878e-06 1.984065045573700000e+13 1.614950388473150000e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-5.185757394104222956e-06 3.057011724295300000e+13 2.488380647616079688e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-4.149884932800149506e-06 4.678442173096700000e+13 3.808346631296171250e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-5.688483067787931569e-06 7.092843536487200000e+13 5.773674929498435000e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
-4.308676142212235957e-06 1.061444532625570000e+14 8.640447652151975000e+14 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
2.304132152873467837e-06 1.568025615590730000e+14 1.276428749070207500e+15 6.915813945088769010e-01 1.852537625000000000e+06 9.262690000000000000e+07
