# theta, gamma_t
2.805046135754908576e+00 -9.516832308382401468e-06
3.531343861556885511e+00 -1.881825385978434776e-05
4.445698525097306231e+00 -1.272455310247839111e-05
5.596802846420849242e+00 3.000173319290958438e-07
7.045957328161134292e+00 1.301818463787963122e-06
8.870334730839386950e+00 -5.415423436357679732e-06
1.116708980377407912e+01 -6.998471640825362913e-06
1.405853312975872704e+01 -8.828442755827231245e-06
1.769864460960344488e+01 -5.838614066155921277e-06
2.228127345334363341e+01 -1.400963703148703574e-06
2.805046135754907866e+01 -4.548396089651171870e-06
3.531343861556884889e+01 -4.782850488278950343e-06
4.445698525097307652e+01 -1.772575103152317626e-07
5.596802846420851552e+01 -2.049440252408648638e-06
7.045957328161131272e+01 -2.181171789311091928e-06
8.870334730839388726e+01 -1.603694792865685620e-06
1.116708980377407130e+02 -4.215062112881589652e-06
1.405853312975872882e+02 -6.959137345933788863e-06
1.769864460960343422e+02 -1.031135855633529469e-05
2.228127345334363838e+02 -1.105410708291891029e-05
2.805046135754906231e+02 -8.355935992698270269e-06
3.531343861556885599e+02 -3.233556520779787088e-06
4.445698525097302536e+02 4.802344012383410889e-06
5.596802846420847573e+02 1.050432084296655053e-05
7.045957328161139230e+02 6.036833864633969195e-07
8.870334730839383610e+02 -7.359953822013048793e-06
