# theta, gammat_shot_noise
2.805046135754908576e+00 1.557690683051528996e-09
3.531343861556885511e+00 1.272182444507556302e-09
4.445698525097306231e+00 7.389263766585134997e-10
5.596802846420849242e+00 5.472814166144315548e-10
7.045957328161134292e+00 4.118904095487034697e-10
8.870334730839386950e+00 3.029867528592074347e-10
1.116708980377407912e+01 1.991982580933991443e-10
1.405853312975872704e+01 1.448075186291113010e-10
1.769864460960344488e+01 1.402270136216347263e-10
2.228127345334363341e+01 1.047795082307567525e-10
2.805046135754907866e+01 1.019461979126578537e-10
3.531343861556884889e+01 1.089769666864786520e-10
4.445698525097307652e+01 1.159439438746137699e-10
5.596802846420851552e+01 1.362958645846370146e-10
7.045957328161131272e+01 2.027330467259529841e-10
8.870334730839388726e+01 2.557060803310875710e-10
1.116708980377407130e+02 3.603119258593796654e-10
1.405853312975872882e+02 5.312999069469062697e-10
1.769864460960343422e+02 7.221373937878476972e-10
2.228127345334363838e+02 1.040625557381385468e-09
2.805046135754906231e+02 1.270559894818969302e-09
3.531343861556885599e+02 1.319049975784821419e-09
4.445698525097302536e+02 1.172329896077394963e-09
5.596802846420847573e+02 8.647821262955938039e-10
7.045957328161139230e+02 7.797068093166135136e-10
8.870334730839383610e+02 6.926962783412476553e-10
