# theta, gamma_x
2.805046135754908576e+00 -1.374009989521940553e-04
3.531343861556885511e+00 3.437108831763024773e-05
4.445698525097306231e+00 -8.194616489228600067e-06
5.596802846420849242e+00 -4.101433980231164526e-05
7.045957328161134292e+00 3.025220207038664249e-05
8.870334730839386950e+00 -1.939357977556022857e-05
1.116708980377407912e+01 1.733225934770860836e-05
1.405853312975872704e+01 -1.017783498149029733e-05
1.769864460960344488e+01 1.231293614969111032e-06
2.228127345334363341e+01 -1.156344130295598448e-06
2.805046135754907866e+01 2.968331034060408852e-06
3.531343861556884889e+01 3.161605945456716149e-06
4.445698525097307652e+01 7.123061122142786712e-07
5.596802846420851552e+01 6.668450975602995466e-06
7.045957328161131272e+01 5.712478635103051770e-07
8.870334730839388726e+01 3.110156281849804023e-06
1.116708980377407130e+02 2.309855711566746428e-06
1.405853312975872882e+02 -7.931407775376584843e-07
1.769864460960343422e+02 -4.984758047258136757e-06
2.228127345334363838e+02 -1.135581649193285726e-06
2.805046135754906231e+02 -8.972420285967380505e-07
3.531343861556885599e+02 -1.720147982387521854e-06
4.445698525097302536e+02 -1.142819868056613945e-06
5.596802846420847573e+02 -2.291960563828263142e-06
7.045957328161139230e+02 -5.608312462148311070e-07
8.870334730839383610e+02 -1.331381318698512355e-06
