# theta, gamma_x
2.805046135754908576e+00 4.968266000222698356e-06
3.531343861556885511e+00 9.943606222802486519e-06
4.445698525097306231e+00 2.602585565249891997e-06
5.596802846420849242e+00 7.031630781444252159e-06
7.045957328161134292e+00 4.253133368993105377e-06
8.870334730839386950e+00 1.061200632745901094e-06
1.116708980377407912e+01 3.406794156138161784e-06
1.405853312975872704e+01 3.695030827879743986e-07
1.769864460960344488e+01 -3.486112106203569588e-06
2.228127345334363341e+01 -8.208689722610786621e-06
2.805046135754907866e+01 -1.774015327813925912e-06
3.531343861556884889e+01 1.787279168337334948e-06
4.445698525097307652e+01 2.918614613650344974e-06
5.596802846420851552e+01 2.631251412675954785e-06
7.045957328161131272e+01 4.061509322814950442e-06
8.870334730839388726e+01 5.794913413057612263e-06
1.116708980377407130e+02 2.039822122360556441e-06
1.405853312975872882e+02 3.852254176195857896e-06
1.769864460960343422e+02 -1.905352934360686694e-06
2.228127345334363838e+02 -8.214625065445151241e-06
2.805046135754906231e+02 -1.117544925396249245e-05
3.531343861556885599e+02 -7.409665229520236142e-06
4.445698525097302536e+02 -5.919836267388878762e-06
5.596802846420847573e+02 -8.039152518895010548e-06
7.045957328161139230e+02 -6.196220814570685458e-06
8.870334730839383610e+02 3.322769994668491927e-06
