# theta, gammat_err
2.805046135754908576e+00 7.486321363063706511e-06
3.531343861556885511e+00 6.812984966563612043e-06
4.445698525097306231e+00 5.694880979759143143e-06
5.596802846420849242e+00 5.204936858754638174e-06
7.045957328161134292e+00 5.040199357763529619e-06
8.870334730839386950e+00 4.593384246616501666e-06
1.116708980377407912e+01 4.374227876635602815e-06
1.405853312975872704e+01 4.445927262242182041e-06
1.769864460960344488e+01 4.651757357145175815e-06
2.228127345334363341e+01 4.632414686659972516e-06
2.805046135754907866e+01 4.797229261889489358e-06
3.531343861556884889e+01 5.271003904481221219e-06
4.445698525097307652e+01 6.027001013404413583e-06
5.596802846420851552e+01 6.816998655371210503e-06
7.045957328161131272e+01 8.015050539702338515e-06
8.870334730839388726e+01 9.387878439807826090e-06
1.116708980377407130e+02 1.092789416458825720e-05
1.405853312975872882e+02 1.266724467800079886e-05
1.769864460960343422e+02 1.487367044699257708e-05
2.228127345334363838e+02 1.806135649267737365e-05
2.805046135754906231e+02 2.091174226821887125e-05
3.531343861556885599e+02 2.205595571536972290e-05
4.445698525097302536e+02 2.137764264816773265e-05
5.596802846420847573e+02 1.900693504379578601e-05
7.045957328161139230e+02 1.755786525216318663e-05
8.870334730839383610e+02 1.834503052485465867e-05
