# theta, gamma_t
2.805046135754908576e+00 -1.532161807869275068e-05
3.531343861556885511e+00 -9.854791818370705491e-06
4.445698525097306231e+00 -4.247869796983343988e-06
5.596802846420849242e+00 4.416024957173399028e-06
7.045957328161134292e+00 -2.489287495800020174e-06
8.870334730839386950e+00 -6.227192365716909636e-06
1.116708980377407912e+01 -7.302819213036008971e-06
1.405853312975872704e+01 -9.306003050099856055e-06
1.769864460960344488e+01 -6.461841245062427302e-06
2.228127345334363341e+01 -2.272218898770975080e-06
2.805046135754907866e+01 -5.403488955976976141e-06
3.531343861556884889e+01 -4.465922441913345751e-06
4.445698525097307652e+01 -5.855870131024525082e-07
5.596802846420851552e+01 -1.423616660766605362e-06
7.045957328161131272e+01 -2.328966065378085963e-06
8.870334730839388726e+01 -1.156859064758525036e-06
1.116708980377407130e+02 -4.438176624056933356e-06
1.405853312975872882e+02 -6.783069280797417846e-06
1.769864460960343422e+02 -1.004796764133652112e-05
2.228127345334363838e+02 -1.119928541304216106e-05
2.805046135754906231e+02 -8.500552122637932854e-06
3.531343861556885599e+02 -3.054338189663729155e-06
4.445698525097302536e+02 4.724086361078923334e-06
5.596802846420847573e+02 1.048332996227848254e-05
7.045957328161139230e+02 5.516312407249657274e-07
8.870334730839383610e+02 -7.381231923247854144e-06
