# theta, gamma_t
2.805046135754908576e+00 0.000000000000000000e+00
3.531343861556885511e+00 0.000000000000000000e+00
4.445698525097306231e+00 0.000000000000000000e+00
5.596802846420849242e+00 0.000000000000000000e+00
7.045957328161134292e+00 0.000000000000000000e+00
8.870334730839386950e+00 0.000000000000000000e+00
1.116708980377407912e+01 0.000000000000000000e+00
1.405853312975872704e+01 0.000000000000000000e+00
1.769864460960344488e+01 0.000000000000000000e+00
2.228127345334363341e+01 0.000000000000000000e+00
2.805046135754907866e+01 0.000000000000000000e+00
3.531343861556884889e+01 0.000000000000000000e+00
4.445698525097307652e+01 0.000000000000000000e+00
5.596802846420851552e+01 0.000000000000000000e+00
7.045957328161131272e+01 0.000000000000000000e+00
8.870334730839388726e+01 0.000000000000000000e+00
1.116708980377407130e+02 0.000000000000000000e+00
1.405853312975872882e+02 0.000000000000000000e+00
1.769864460960343422e+02 0.000000000000000000e+00
2.228127345334363838e+02 0.000000000000000000e+00
2.805046135754906231e+02 0.000000000000000000e+00
3.531343861556885599e+02 0.000000000000000000e+00
4.445698525097302536e+02 0.000000000000000000e+00
5.596802846420847573e+02 0.000000000000000000e+00
7.045957328161139230e+02 0.000000000000000000e+00
8.870334730839383610e+02 0.000000000000000000e+00
