# theta, gammat_shot_noise
2.805046135754908576e+00 4.117441892750079554e-11
3.531343861556885511e+00 3.410086600166912728e-11
4.445698525097306231e+00 2.382647803358803968e-11
5.596802846420849242e+00 1.990313449653079846e-11
7.045957328161134292e+00 1.866319424773231726e-11
8.870334730839386950e+00 1.550087093256259821e-11
1.116708980377407912e+01 1.405702298225952357e-11
1.405853312975872704e+01 1.452162619130316079e-11
1.769864460960344488e+01 1.589734697579802470e-11
2.228127345334363341e+01 1.576541497157146037e-11
2.805046135754907866e+01 1.690719240991281710e-11
3.531343861556884889e+01 2.041160816548673376e-11
4.445698525097307652e+01 2.668658953931856932e-11
5.596802846420851552e+01 3.414105707257535415e-11
7.045957328161131272e+01 4.719577013806874546e-11
8.870334730839388726e+01 6.474786637980457153e-11
1.116708980377407130e+02 8.773310651570484824e-11
1.405853312975872882e+02 1.178840005150537728e-10
1.769864460960343422e+02 1.625275004416415109e-10
2.228127345334363838e+02 2.396576389410436487e-10
2.805046135754906231e+02 3.212705984781945746e-10
3.531343861556885599e+02 3.573899280931252374e-10
4.445698525097302536e+02 3.357454787465204645e-10
5.596802846420847573e+02 2.654084391494750019e-10
7.045957328161139230e+02 2.264821454002770348e-10
8.870334730839383610e+02 2.472449468722235077e-10
