# theta, gamma_x
2.805046135754908576e+00 -1.957046116205299251e-06
3.531343861556885511e+00 1.196928955307636385e-05
4.445698525097306231e+00 7.354281856273779131e-06
5.596802846420849242e+00 -7.188311477128573337e-07
7.045957328161134292e+00 -1.457424906421503863e-06
8.870334730839386950e+00 -2.017058115008622718e-06
1.116708980377407912e+01 -2.198443737901937770e-07
1.405853312975872704e+01 -2.328637222708270058e-06
1.769864460960344488e+01 2.459662719788288572e-06
2.228127345334363341e+01 1.765448540869228778e-06
2.805046135754907866e+01 -4.732310501828107974e-06
3.531343861556884889e+01 -2.347920061683027708e-06
4.445698525097307652e+01 -7.827271508893064093e-07
5.596802846420851552e+01 -2.234939002026950265e-06
7.045957328161131272e+01 -2.140742259466157362e-07
8.870334730839388726e+01 -2.807430238374898268e-06
1.116708980377407130e+02 -5.316236303859813933e-06
1.405853312975872882e+02 -6.730488001820692942e-06
1.769864460960343422e+02 -5.763848231679946303e-06
2.228127345334363838e+02 -6.316549892042034577e-06
2.805046135754906231e+02 -4.283257839678244040e-06
3.531343861556885599e+02 -2.604368558285680579e-06
4.445698525097302536e+02 -1.491981908807657651e-06
5.596802846420847573e+02 -3.099439921053257405e-06
7.045957328161139230e+02 -6.801985602806280840e-06
8.870334730839383610e+02 -3.062215829961846375e-06
