# theta, gammat_err
2.805046135754705627e+00 4.581369569116988384e-05
3.531343861556119457e+00 3.797514072971173960e-05
4.445698525095699516e+00 3.006100051458075438e-05
5.596802846418014177e+00 2.312482095426282973e-05
7.045957328156546851e+00 1.867379460603592009e-05
8.870334730832327708e+00 1.592515885821550641e-05
1.116708980376357552e+01 1.474200468857072287e-05
1.405853312974346814e+01 1.225516166783139499e-05
1.769864460958168095e+01 9.195726509180602060e-06
2.228127345331300901e+01 8.617261521291434527e-06
2.805046135750647807e+01 7.282146113841823699e-06
3.531343861551010122e+01 6.729590734455472028e-06
4.445698525089266440e+01 5.965908345536502214e-06
5.596802846409915588e+01 5.847064252118432802e-06
7.045957328146349141e+01 5.880798911383767393e-06
8.870334730819496372e+01 5.323483070253780111e-06
1.116708980374742026e+02 5.793262349330530660e-06
1.405853312972313063e+02 5.455572603578834100e-06
1.769864460955607228e+02 5.131809227432963698e-06
2.228127345328078661e+02 4.793624691679882042e-06
2.805046135746590039e+02 4.609175334140396080e-06
3.531343861545901746e+02 4.226676859883977700e-06
4.445698525082834749e+02 3.503723719213371597e-06
5.596802846401818670e+02 2.848965945169641834e-06
7.045957328136156548e+02 2.349306943920789175e-06
8.870334730806664538e+02 2.012875580242614975e-06
