# theta, boost
2.805046135754705627e+00 1.000295934134102449e+00
3.531343861556119457e+00 1.003448758793630935e+00
4.445698525095699516e+00 1.003264226245536239e+00
5.596802846418014177e+00 1.003130309983595980e+00
7.045957328156546851e+00 1.002965433836489506e+00
8.870334730832327708e+00 1.003020693166116750e+00
1.116708980376357552e+01 1.003098821931458273e+00
1.405853312974346814e+01 1.003078161247835443e+00
1.769864460958168095e+01 1.002895295640157780e+00
2.228127345331300901e+01 1.002965113367153105e+00
2.805046135750647807e+01 1.002992153492189065e+00
3.531343861551010122e+01 1.003468833442288766e+00
4.445698525089266440e+01 1.003799248307303715e+00
5.596802846409915588e+01 1.003948832726891283e+00
7.045957328146349141e+01 1.004111815967035470e+00
8.870334730819496372e+01 1.003936982306263603e+00
1.116708980374742026e+02 1.003962407229166631e+00
1.405853312972313063e+02 1.004446443669154032e+00
1.769864460955607228e+02 1.004838049248547582e+00
2.228127345328078661e+02 1.005111730407667547e+00
2.805046135746590039e+02 1.005591645358405506e+00
3.531343861545901746e+02 1.005396167197378343e+00
4.445698525082834749e+02 1.005334209050953831e+00
5.596802846401818670e+02 1.004803753036590752e+00
7.045957328136156548e+02 1.004788352203429769e+00
8.870334730806664538e+02 1.004958073120766793e+00
