# theta, gamma_t
2.805046135754705627e+00 6.971313656371568674e-05
3.531343861556119457e+00 5.896904890422146293e-05
4.445698525095699516e+00 3.577051785376687170e-05
5.596802846418014177e+00 -3.789791739331207576e-06
7.045957328156546851e+00 6.643681734985141456e-05
8.870334730832327708e+00 1.347551700835377586e-05
1.116708980376357552e+01 3.399065771188640315e-05
1.405853312974346814e+01 7.946721326210586092e-06
1.769864460958168095e+01 8.564546972382945758e-06
2.228127345331300901e+01 1.188576247267042066e-05
2.805046135750647807e+01 5.746069063984844398e-06
3.531343861551010122e+01 1.231489165744929777e-05
4.445698525089266440e+01 7.465535028652975518e-06
5.596802846409915588e+01 -4.926774523519901630e-07
7.045957328146349141e+01 -2.159829568149468446e-06
8.870334730819496372e+01 -2.438569210404334298e-06
1.116708980374742026e+02 -6.989302369242623226e-07
1.405853312972313063e+02 2.605943550789507671e-06
1.769864460955607228e+02 -2.003415234798537451e-07
2.228127345328078661e+02 7.197798356313357831e-07
2.805046135746590039e+02 1.700800707624404532e-06
3.531343861545901746e+02 7.811817646322674830e-06
4.445698525082834749e+02 6.361508521498542299e-06
5.596802846401818670e+02 6.095719964354812713e-06
7.045957328136156548e+02 6.343838412526300683e-06
8.870334730806664538e+02 6.420912895958678336e-06
