# theta, gamma_t
2.805046135754705627e+00 1.684053204659888942e-04
3.531343861556119457e+00 1.330012116427147970e-04
4.445698525095699516e+00 1.265790718897318067e-04
5.596802846418014177e+00 9.788530742153911445e-05
7.045957328156546851e+00 6.956529641933485351e-05
8.870334730832327708e+00 7.110685569881786724e-05
1.116708980376357552e+01 6.738012831573592088e-05
1.405853312974346814e+01 5.772526026279118413e-05
1.769864460958168095e+01 5.257848614794711801e-05
2.228127345331300901e+01 4.536444770811841646e-05
2.805046135750647807e+01 3.542435466925975939e-05
3.531343861551010122e+01 3.769586315507713470e-05
4.445698525089266440e+01 3.907744806719262758e-05
5.596802846409915588e+01 2.648556324927617354e-05
7.045957328146349141e+01 1.917826820731072918e-05
8.870334730819496372e+01 1.209054417458671860e-05
1.116708980374742026e+02 1.583144079112206931e-06
1.405853312972313063e+02 3.460953375134508348e-06
1.769864460955607228e+02 2.490060358064244563e-06
2.228127345328078661e+02 1.080929306479838555e-06
2.805046135746590039e+02 -1.584729866939679684e-06
3.531343861545901746e+02 6.871447937584672656e-06
4.445698525082834749e+02 5.052263292255251826e-06
5.596802846401818670e+02 1.420146600505437076e-06
7.045957328136156548e+02 1.434652870618347955e-06
8.870334730806664538e+02 -2.344455110327533414e-07
