# xi_im, xi_npair, xi_weight, Rg
2.904206122961124610e-05 2.965932300000000000e+07 4.547887358776373863e+08 8.603567189265807214e-01
7.516183026413703782e-06 4.625813500000000000e+07 7.089060919095635414e+08 8.603567189265807214e-01
9.544850799351233873e-06 7.257720800000000000e+07 1.111454748058633327e+09 8.603567189265807214e-01
1.648767044072946313e-05 1.140291420000000000e+08 1.745295705064497471e+09 8.603567189265807214e-01
5.133683466382298608e-06 1.792170330000000000e+08 2.742051742729487419e+09 8.603567189265807214e-01
-2.326371114113542384e-05 2.819617050000000000e+08 4.312355538659107208e+09 8.603567189265807214e-01
5.167989680478284089e-06 4.440008960000000000e+08 6.789167332500934601e+09 8.603567189265807214e-01
-1.418609115238765277e-05 6.990744100000000000e+08 1.068691313660995674e+10 8.603567189265807214e-01
7.249454104939823037e-06 1.101110245000000000e+09 1.682966516750058937e+10 8.603567189265807214e-01
-1.229681450031188793e-05 1.735469836000000000e+09 2.652141296291263580e+10 8.603567189265807214e-01
8.204311656815556238e-07 2.734608993000000000e+09 4.178441104115440369e+10 8.603567189265807214e-01
5.015255371361140194e-06 4.308190850000000000e+09 6.581996413470969391e+10 8.603567189265807214e-01
5.585772591464290255e-06 6.782381553000000000e+09 1.036073256965705261e+11 8.603567189265807214e-01
2.585298663865302564e-06 1.066864593800000000e+10 1.629578600637290039e+11 8.603567189265807214e-01
5.552753121605975100e-06 1.676313030000000000e+10 2.560216367353422852e+11 8.603567189265807214e-01
2.004996980792632598e-06 2.629839520400000000e+10 4.016126470429488525e+11 8.603567189265807214e-01
-2.124355694057643076e-06 4.119304585900000000e+10 6.290272758486370850e+11 8.603567189265807214e-01
-2.907547358293919755e-06 6.437958660300000000e+10 9.830092602282973633e+11 8.603567189265807214e-01
-5.130289610659318625e-06 1.002959831590000000e+11 1.531278055085699463e+12 8.603567189265807214e-01
-3.665695856930417105e-06 1.557688171680000000e+11 2.378027370005591309e+12 8.603567189265807214e-01
8.711831106212550993e-07 2.410865986630000000e+11 3.680213574399652344e+12 8.603567189265807214e-01
-1.662223389961751201e-07 3.712324275030000000e+11 5.666375886826750000e+12 8.603567189265807214e-01
2.921071003801386477e-07 5.680473621410000000e+11 8.669421114488778320e+12 8.603567189265807214e-01
-2.025432081603604496e-06 8.601521930950000000e+11 1.312536484237639648e+13 8.603567189265807214e-01
-3.284668206551415637e-06 1.287389368275000000e+12 1.964225230194899219e+13 8.603567189265807214e-01
-1.711100800501498515e-06 1.904012043319000000e+12 2.904637901149792969e+13 8.603567189265807214e-01
