# xi_im, xi_npair, xi_weight, Rg, sum_w_l, sum_w_r,
6.663734758440075461e-06 2.092802459000000000e+09 2.488200326702905273e+10 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
4.026813686855243259e-06 3.270334977000000000e+09 3.889005722423484802e+10 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
5.502530815497647862e-06 5.153698863000000000e+09 6.128760466226239014e+10 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
3.093954271051297343e-06 8.122915016000000000e+09 9.659723466676274109e+10 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-1.706672467983085362e-06 1.280333517900000000e+10 1.522568933703936768e+11 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.603100985144098710e-06 2.019630714100000000e+10 2.401761305490328979e+11 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.795181401712387021e-06 3.188014088000000000e+10 3.791296289882788086e+11 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-1.313264569615140630e-06 5.029155030200000000e+10 5.980927693487651367e+11 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-1.163985919422549217e-06 7.935669693500000000e+10 9.437710222309505615e+11 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-1.315269960219565986e-06 1.252760636020000000e+11 1.489931561903032715e+12 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.654175770878132525e-06 1.976849156370000000e+11 2.351194955228211426e+12 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.118965275196244286e-06 3.118550797610000000e+11 3.709256121815514160e+12 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-1.035135788299126361e-06 4.915246629370000000e+11 5.846551222903690430e+12 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.303404743398299236e-06 7.738861142150000000e+11 9.205598148036474609e+12 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-1.170868498247967578e-06 1.216938832067000000e+12 1.447668835126350781e+13 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-3.087644392971487051e-06 1.910040038781000000e+12 2.272289353536799219e+13 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-4.727589104629218136e-06 2.992721653107000000e+12 3.560523981721717969e+13 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-6.339909372749891578e-06 4.676851659766000000e+12 5.564473730344821875e+13 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-7.830561359184215426e-06 7.282994011846000000e+12 8.665474838960746875e+13 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-9.746438776885792780e-06 1.130222103248000000e+13 1.344882050581072031e+14 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-7.163459686862532574e-06 1.747763869210600000e+13 2.079873348515907812e+14 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-4.721725866546946599e-06 2.690379004258300000e+13 3.201938143038600000e+14 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.001354394059671316e-06 4.112060423238300000e+13 4.894473083834980625e+14 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-2.354694585062427843e-06 6.224077897668100000e+13 7.408753194407052500e+14 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
-3.743026741281061953e-06 9.308041999478700000e+13 1.108017505885840500e+15 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
5.935123959106542053e-07 1.376080265619950000e+14 1.637967101299455000e+15 8.143973352762132745e-01 1.766390000000000000e+06 8.831950000000000000e+07
