# theta, gamma_t
2.805046135754705627e+00 -1.334135616714483056e-05
3.531343861556119457e+00 -1.442680400887201430e-05
4.445698525095699516e+00 -1.572762630182692904e-05
5.596802846418014177e+00 -2.830199026390881656e-06
7.045957328156546851e+00 -8.121331057329306895e-06
8.870334730832327708e+00 -5.091882875140666905e-06
1.116708980376357552e+01 -2.579190522319767157e-06
1.405853312974346814e+01 -7.601950845889467295e-06
1.769864460958168095e+01 -6.975179017041200690e-06
2.228127345331300901e+01 -3.440580025228222016e-06
2.805046135750647807e+01 -1.741948556707161927e-06
3.531343861551010122e+01 1.955964173433505530e-07
4.445698525089266440e+01 -3.437167823898678615e-07
5.596802846409915588e+01 4.131128994221284887e-06
7.045957328146349141e+01 2.903669591929040300e-06
8.870334730819496372e+01 -1.405905777361107564e-06
1.116708980374742026e+02 -7.266177810969312916e-06
1.405853312972313063e+02 -8.715915951253551484e-06
1.769864460955607228e+02 -1.460887155660861833e-05
2.228127345328078661e+02 -1.813591624350019416e-05
2.805046135746590039e+02 -1.838856017598253245e-05
3.531343861545901746e+02 -1.441098203305113973e-05
4.445698525082834749e+02 -4.537793244533668496e-06
5.596802846401818670e+02 4.632317515374251135e-06
7.045957328136156548e+02 -2.114655655821021862e-06
8.870334730806664538e+02 -6.200428532516978635e-06
